wine_url,collected
https://www.vivino.com/GB/en/lacey-magruder-bad-monkey-blaufrankisch/w/7490546,False
https://www.vivino.com/GB/en/coudoulet-ournac-freres-pinot-noir/w/7490547,False
https://www.vivino.com/GB/en/bodegas-vinedos-agrelo-solo-para-amigos-reserva-grand-blend/w/7490551,False
https://www.vivino.com/GB/en/j-p-richarte-cotes-des-oliviers-blanc-moelleux/w/7490558,False
https://www.vivino.com/GB/en/cave-de-la-combe-marendaz-chasselas/w/7490568,False
https://www.vivino.com/GB/en/tenimenti-civa-collezione-privata-ribolla-gialla/w/7490572,False
https://www.vivino.com/GB/en/sakai-tsugumi-rose/w/7490574,False
https://www.vivino.com/GB/en/mati-fortuna-dry-white/w/7490578,False
https://www.vivino.com/GB/en/true-heritage-chardonnay/w/7490592,False
https://www.vivino.com/GB/en/tal-massar-garb-sweet-red/w/7490594,False
https://www.vivino.com/GB/en/buttonwood-grove-grie-sling/w/7490595,False
https://www.vivino.com/GB/en/tenimenti-civa-collezione-privata-friulano/w/7490600,False
https://www.vivino.com/GB/en/buttonwood-grove-tuesday/w/7490603,False
https://www.vivino.com/GB/en/tenimenti-civa-collezione-privata-sauvignon/w/7490608,False
https://www.vivino.com/GB/en/maurice-grumier-solera-extra-brut-champagne/w/7490611,False
https://www.vivino.com/GB/en/corte-santalda-inti/w/7490612,False
https://www.vivino.com/GB/en/cave-vucher-georges-and-fils-cerdon-methode-ancestrale/w/7490613,False
https://www.vivino.com/GB/en/giuseppe-terre-siciliane/w/7490614,False
https://www.vivino.com/GB/en/vegamar-huella-de-merseguera-comunitat-valenciana/w/7490617,False
https://www.vivino.com/GB/en/chateau-le-rauly-tradition-pecharmant/w/7490618,False
https://www.vivino.com/GB/en/reserve-des-lys-vouvray/w/7490619,False
https://www.vivino.com/GB/en/tenimenti-civa-collezione-privata-refosco-dal-peduncolo-rosso/w/7490620,False
https://www.vivino.com/GB/en/cjs-vineyards-fosterville-white/w/7490621,False
https://www.vivino.com/GB/en/ca-desiderio-franciacorta-pas-dose-franciacorta/w/7490624,False
https://www.vivino.com/GB/en/hasenlauf-gamaret/w/7490625,False
https://www.vivino.com/GB/en/bodega-a16-civit-757-petit-verdot/w/7490631,False
https://www.vivino.com/GB/en/tenimenti-civa-collezione-privata-ribolla-gialla-spumante-extra-brut/w/7490632,False
https://www.vivino.com/GB/en/ribeirinha-vale-de-lobos-reserva-branco/w/7490641,False
https://www.vivino.com/GB/en/french-madame-bordeaux-rose/w/7490645,False
https://www.vivino.com/GB/en/tenimenti-civa-collezione-privata-millesimato-prosecco-brut/w/7490647,False
https://www.vivino.com/GB/en/familie-hammerschmidt-ried-rosengarten-gruner-veltliner/w/7490649,False
https://www.vivino.com/GB/en/reinhard-und-volker-krug-valentins-alte-reben-mandeler-pinot-blanc-feinherb/w/7490660,False
https://www.vivino.com/GB/en/domaine-pelletier-re-rose-merlot-cabernet/w/7490668,False
