year,id,wine_id,vintage_ratings_count,vintage_ratings_average
2018,160118234,2136494,23,3.5
2017,156423517,2136494,42,3.6
2015,145926419,2136494,16,3.8
2014,29834373,2136494,23,3.7
2013,9600920,2136494,20,3.4
2011,4231661,2136494,12,3.5
2017,159728681,2136500,23,3.5
2016,152921152,2136500,16,3.5
2014,57253105,2136504,15,3.9
2011,4741218,2136504,17,2.8
2018,160459115,2136511,16,3.6
2017,157880836,2136511,13,3.5
2007,65339633,2136520,150,3.9
2019,161366433,2136546,20,3.7
2018,158578497,2136546,26,3.6
2017,154160935,2136546,36,3.7
2016,145513410,2136546,20,3.7
2015,32793999,2136546,13,4.0
2014,12597525,2136546,21,3.3
2013,4113547,2136546,14,3.4
2014,155218235,2136576,20,4.0
2010,11433422,2136576,13,4.3
2016,143805539,2136649,17,4.1
2015,27651070,2136649,57,4.3
2014,8768683,2136649,76,4.4
2013,5133270,2136649,36,4.3
2012,4597202,2136649,49,4.1
2011,4278732,2136649,74,4.3
2010,4113808,2136649,19,4.6
2018,156489592,2136682,56,3.3
2017,155658543,2136682,91,3.6
2016,148974732,2136682,65,3.4
2015,17777675,2136682,173,3.3
2014,21084371,2136682,108,3.3
2013,6835477,2136682,40,3.3
2012,4573978,2136682,67,3.2
2011,27316140,2136682,17,3.2
2010,21113463,2136682,20,3.1
2016,99237510,2136710,349,4.2
2015,14380132,2136710,1014,4.3
2014,8750933,2136710,593,4.1
2013,7214274,2136710,647,4.2
2012,6744657,2136710,706,4.2
2011,4170544,2136710,450,4.2
2010,4630934,2136710,218,4.1
2009,5053261,2136710,21,4.3
2008,5227213,2136710,20,3.8
2015,31091130,2136749,37,3.8
2014,10272050,2136749,55,3.8
2013,4114066,2136749,54,3.8
2012,4204232,2136749,15,3.3
2011,4168911,2136749,17,3.6
2017,159937143,2136757,12,4.0
2015,52861938,2136757,21,3.8
2014,82494838,2136757,10,3.8
2017,158975403,2136759,10,3.3
2015,144004387,2136759,12,4.1
2012,12245637,2136759,18,3.9
2016,145639160,2136774,19,3.2
2015,36683053,2136774,27,3.8
2014,12121531,2136774,23,3.0
2013,16132202,2136774,66,3.7
2011,7675301,2136774,231,3.5
2010,4201391,2136774,142,3.5
2013,7224359,2136801,18,3.2
2012,5455264,2136801,17,3.7
2008,11110534,2136801,20,3.8
2016,156197686,2136803,21,3.8
2015,148694922,2136803,13,3.5
2012,5110389,2136803,22,4.0
2015,146131181,2136808,18,3.8
2014,4375978,2136808,18,3.4
2013,13245442,2136808,11,4.0
2012,4114236,2136808,22,3.5
2010,19146832,2136824,23,3.9
2009,13952416,2136824,11,3.4
2012,4114336,2136845,28,3.3
2016,145634494,2136875,12,3.6
2015,57290953,2136875,24,3.2
2014,20749219,2136875,24,3.1
