id,full_name,name,type_id,type,wine_region,winery,winery_region,country,ratings_count,ratings_average,alcohol,acidity,fizziness,intensity,sweetness,tannin,url
7162551,Red Schooner Voyage 7,Voyage 7,1,Red Wine,Mendoza,Red Schooner,California,United States,985,4.4,0.0,2.4917758,,4.034518,2.0954828,2.122587,https://www.vivino.com/GB/en/wagner-family-wine-voyage-7/w/7162551
7162559,Jean-Claude Boisset Corton-'Les Maréchaudes' Grand Cru,Corton-'Les Maréchaudes' Grand Cru,1,Red Wine,Corton Grand Cru 'Les Marechaudes',Jean-Claude Boisset,Bourgogne,France,14,4.3,0.0,4.0,,2.5,1.0,2.0,https://www.vivino.com/GB/en/jean-claude-boisset-corton-les-marechaudes-grand-cru/w/7162559
7162569,Cazes Las Clots Côtes du Roussillon,Las Clots Côtes du Roussillon,1,Red Wine,Côtes du Roussillon,Cazes,Rivesaltes,France,37,3.6,0.0,3.917353,,3.6644115,1.8693137,3.667059,https://www.vivino.com/GB/en/domaine-cazes-las-clots-cotes-du-roussillon/w/7162569
7162590,Pueblo Viejo Tempranillo,Tempranillo,1,Red Wine,Rioja,Pueblo Viejo,Rioja,Spain,138,3.4,0.0,3.7488236,,3.6988235,1.6896732,3.8039215,https://www.vivino.com/GB/en/pueblo-viejo-tempranillo/w/7162590
7162607,Equality Love Wins Sparkling Rosé,Love Wins Sparkling Rosé,3,Sparkling,California,Equality,California,United States,10,3.7,12.0,3.0,4.0,4.0,,,https://www.vivino.com/GB/en/equality-love-wins-sparkling-rose/w/7162607
7162611,Folias de Baco Uivo Curtido Branco,Uivo Curtido Branco,2,White Wine,Douro,Folias de Baco,Douro,Portugal,506,4.0,0.0,4.0429573,,2.9551919,1.396569,,https://www.vivino.com/GB/en/folias-de-baco-uivo-curtido-branco/w/7162611
7162632,Ladybird Chardonnay,Chardonnay,2,White Wine,Central Coast,Ladybird,Paso Robles,United States,15,3.5,0.0,3.4768085,,3.960213,1.9542553,,https://www.vivino.com/GB/en/ladybird-paso-robles-chardonnay/w/7162632
7162640,Iron Rock Sauvignon Blanc,Sauvignon Blanc,2,White Wine,California,Iron Rock,California,United States,12,3.9,0.0,4.0527587,,3.0,1.0,,https://www.vivino.com/GB/en/iron-rock-sauvignon-blanc/w/7162640
7162672,Château d'Aqueria Esprit d'Aqueria Gigondas,Esprit d'Aqueria Gigondas,1,Red Wine,Gigondas,Château d'Aqueria,Southern Rhône,France,34,3.8,0.0,3.3158135,,3.6384885,1.7301164,3.142209,https://www.vivino.com/GB/en/daqueria-esprit-d-aqueria-gigondas/w/7162672
7162674,Matahiwi Estate Outnumbered Sauvignon Blanc,Outnumbered Sauvignon Blanc,2,White Wine,Wairarapa,Matahiwi Estate,Wairarapa,New Zealand,25,4.3,12.5,4.51125,,2.5900002,1.028125,,https://www.vivino.com/GB/en/matahiwi-estate-outnumbered-sauvignon-blanc-wairarapa/w/7162674
7162689,Herencia Altés La Pilosa Garnacha Peluda,La Pilosa Garnacha Peluda,1,Red Wine,Terra Alta,Herencia Altés,Terra Alta,Spain,235,3.8,0.0,3.061715,,3.5398347,1.5638224,3.0455372,https://www.vivino.com/GB/en/herencia-altes-la-pilosa-garnacha-peluda/w/7162689
