id,full_name,name,type_id,type,wine_region,winery,winery_region,country,ratings_count,ratings_average,alcohol,acidity,fizziness,intensity,sweetness,tannin,url
5358518,Bodegas Santa Ana Classic Chardonnay,Classic Chardonnay,2,White Wine,Mendoza,Bodegas Santa Ana,Mendoza,Argentina,229,2.9,0.0,2.715856,,3.2549548,1.7893693,,https://www.vivino.com/GB/en/bodegas-santa-ana-classic-chardonnay-mendoza/w/5358518
5358523,Sokol Blosser Thistle Vineyard Pinot Noir,Thistle Vineyard Pinot Noir,1,Red Wine,Dundee Hills,Sokol Blosser,Oregon,United States,86,3.9,0.0,3.4909277,,3.2841237,1.2158762,1.9663918,https://www.vivino.com/GB/en/sokol-blosser-thistle-vineyard-pinot-noir-dundee-hills/w/5358523
5358527,Jarvis Estate Chardonnay,Chardonnay,2,White Wine,Margaret River,Jarvis Estate,Margaret River,Australia,10,4.2,0.0,3.2068965,,3.5,1.4937931,,https://www.vivino.com/GB/en/jarvis-chardonnay/w/5358527
5358529,Stones & Bones Blanco,Blanco,2,White Wine,Lisboa,Stones & Bones,Lisboa,Portugal,66,3.6,13.0,2.2995293,,3.0,1.5134118,,https://www.vivino.com/GB/en/stones-bones-blanco/w/5358529
5358530,Small Vines Baranoff Vineyard Pinot Noir,Baranoff Vineyard Pinot Noir,1,Red Wine,Russian River Valley,Small Vines,Russian River Valley,United States,19,4.4,13.2,3.560606,,3.0,1.2060605,2.0,https://www.vivino.com/GB/en/small-vines-wines-baranoff-vineyard-pinot-noir/w/5358530
5358533,Passionate Micheliniwine Parcela 84 Malbec,Micheliniwine Parcela 84 Malbec,1,Red Wine,Tupungato,Passionate,Mendoza,Argentina,62,4.1,13.8,3.0951092,,3.3612459,2.2225235,2.7798133,https://www.vivino.com/GB/en/passionate-micheliniwine-parcela-84-malbec-tupungato/w/5358533
5358536,Domaine Zind Humbrecht Pinot Gris Roche Volcanique,Pinot Gris Roche Volcanique,2,White Wine,Alsace,Domaine Zind Humbrecht,Alsace,France,29,4.0,0.0,2.5879998,,2.6,2.188,,https://www.vivino.com/GB/en/domaine-zind-humbrecht-pinot-gris-roche-volcanique-alsace/w/5358536
5358539,Hammel & Cie Collage Riesling Trocken,Collage Riesling Trocken,2,White Wine,Pfalz,Hammel & Cie,Pfalz,Germany,58,3.7,12.0,4.4331007,,2.7627132,1.804031,,https://www.vivino.com/GB/en/hammel-119597-collage-riesling-trocken/w/5358539
5358543,Jericho Canyon Vineyard Chimera,Chimera,1,Red Wine,Napa Valley,Jericho Canyon Vineyard,Napa Valley,United States,43,4.4,0.0,3.482837,,4.9148936,1.697163,3.8622696,https://www.vivino.com/GB/en/jericho-canyon-vineyard-chimera-napa-valley/w/5358543
5358545,Stellenrust Old Bush Vine Chenin Blanc,Old Bush Vine Chenin Blanc,2,White Wine,Stellenbosch,Stellenrust,Stellenbosch,South Africa,553,4.1,0.0,4.225669,,2.9727523,1.9807073,,https://www.vivino.com/GB/en/stellenrust-old-bush-vine-chenin-blanc-stellenbosch/w/5358545
5358547,Château Lagrugere Bordeaux Blanc,Bordeaux Blanc,2,White Wine,Bordeaux,Château Lagrugere,Bordeaux,France,69,3.6,0.0,2.8893104,,4.0,1.5293103,,https://www.vivino.com/GB/en/fr-lagrugere-bordeaux-blanc/w/5358547
5358549,Colterenzio (Schreckbichl) Lafóa Gewürztraminer,Lafóa Gewürztraminer,2,White Wine,Südtirol - Alto Adige,Colterenzio (Schreckbichl),Südtirol - Alto Adige,Italy,340,4.2,0.0,2.74375,,4.075667,2.7555,,https://www.vivino.com/GB/en/colterenzio-schreckbichl-lafoa-gewurztraminer-alto-adige/w/5358549
5358563,Domaine Chatelain Pouilly-Sur-Loire,Pouilly-Sur-Loire,2,White Wine,Pouilly-Sur-Loire,Domaine Chatelain,Pouilly-Fumé,France,37,3.6,12.5,4.0633335,,2.0,1.0,,https://www.vivino.com/GB/en/domaine-chatelain1-pouilly-sur-loire/w/5358563
5358569,Hammel & Cie Kleinkarlbacher Herrenberg Spätburgunder,Kleinkarlbacher Herrenberg Spätburgunder,1,Red Wine,Pfalz,Hammel & Cie,Pfalz,Germany,29,4.2,13.5,4.50866,,2.081237,1.5847423,2.852371,https://www.vivino.com/GB/en/hammel-119597-kleinkarlbacher-herrenberg-spatburgunder/w/5358569
5358581,Mayer Granite Pinot Noir,Granite Pinot Noir,1,Red Wine,Yarra Valley,Mayer,Yarra Valley,Australia,66,4.0,0.0,3.615932,,2.9653103,1.068323,1.8940684,https://www.vivino.com/GB/en/mayer-yarra-valley-granite-pinot-noir/w/5358581
5358637,Latinium Riesling,Riesling,2,White Wine,Mosel,Latinium,Mosel,Germany,970,4.1,0.0,3.9579039,,2.3941486,2.5309608,,https://www.vivino.com/GB/en/latinium-riesling/w/5358637
5358651,Old Cave Red Blend,Red Blend,1,Red Wine,Almansa,Old Cave,Almansa,Spain,19,4.0,0.0,3.0,,4.014286,2.1,2.9476192,https://www.vivino.com/GB/en/old-cave-red-blend/w/5358651
5358663,Fattoria San Lorenzo Il Casolare Bianco,Il Casolare Bianco,2,White Wine,Marche,Fattoria San Lorenzo,Marche,Italy,26,3.4,12.5,3.7115855,,2.9469512,2.157561,,https://www.vivino.com/GB/en/fattoria-san-lorenzo-il-casolare-bianco/w/5358663
