id,full_name,name,type_id,type,wine_region,winery,winery_region,country,ratings_count,ratings_average,alcohol,acidity,fizziness,intensity,sweetness,tannin,url
1220264,Palmer & Co. Cuvée Rubis Brut Champagne Premier Cru,Cuvée Rubis Brut Champagne Premier Cru,3,Sparkling,Champagne Premier Cru,Palmer & Co.,Champagne,France,25,4.4,12.5,4.9333334,4.9166665,4.5,,,https://www.vivino.com/GB/en/palmer-champagne-1er-cru-cuvee-rubis-brut/w/1220264
1220271,Auguste Bessac Côtes du Rhône,Côtes du Rhône,1,Red Wine,Cairanne,Auguste Bessac,Southern Rhône,France,3082,3.5,0.0,3.3831942,,3.7158332,2.0095556,3.1774166,https://www.vivino.com/GB/en/auguste-bessac-cotes-du-rhone-ycc00/w/1220271
1220273,Bodega Norton Finca Perdriel Centenario,Finca Perdriel Centenario,1,Red Wine,Lujan de Cuyo,Bodega Norton,Lujan de Cuyo,Argentina,8741,4.1,14.5,3.6931872,,4.6209283,1.9460205,3.6680517,https://www.vivino.com/GB/en/bodega-norton-finca-perdriel-centenario/w/1220273
1220275,Bodegas Bianchi Valentin Syrah,Valentin Syrah,1,Red Wine,Mendoza,Bodegas Bianchi,Mendoza,Argentina,109,3.3,0.0,3.1016095,,4.3426437,1.3974712,3.7587357,https://www.vivino.com/GB/en/bodegas-bianchi-valentin-syrah/w/1220275
1220279,Domaine de Sulauze Pomponette Coteaux d'Aix-en-Provence Rosé,Pomponette Coteaux d'Aix-en-Provence Rosé,4,Rosé Wine,Coteaux d'Aix-en-Provence,Domaine de Sulauze,Provence,France,2076,4.0,0.0,4.040522,,2.5011585,1.3792565,,https://www.vivino.com/GB/en/karina-et-guillaume-lefvre-pomponette-coteaux-d-aix-en-provence-rose/w/1220279
1220281,Manuel Olivier Morey-Saint-Denis,Morey-Saint-Denis,1,Red Wine,Morey-Saint-Denis,Manuel Olivier,Côte de Nuits,France,213,3.9,13.0,4.4645147,,2.7657714,1.1577144,2.639257,https://www.vivino.com/GB/en/manuel-olivier-morey-saint-denis/w/1220281
1220282,Conti Formentini Collio Chardonnay,Collio Chardonnay,2,White Wine,Collio,Conti Formentini,Friuli-Venezia Giulia,Italy,237,3.5,13.7,3.52791,,3.9631557,1.9619263,,https://www.vivino.com/GB/en/formentini-collio-chardonnay/w/1220282
1220284,Jacquart Rosé Champagne,Rosé Champagne,3,Sparkling,Champagne,Jacquart,Champagne,France,598,3.8,12.5,4.3759427,4.140219,3.9017763,,,https://www.vivino.com/GB/en/champagne-jacquart-rose-champagne/w/1220284
1220286,Vega Deo Verdejo,Verdejo,2,White Wine,Rueda,Vega Deo,Rueda,Spain,135,3.3,0.0,3.0,,1.9549999,2.0,,https://www.vivino.com/GB/en/vega-deo-verdejo/w/1220286
1220288,Michel Picard Les Chalumaux Puligny-Montrachet 1er Cru,Les Chalumaux Puligny-Montrachet 1er Cru,2,White Wine,Puligny-Montrachet 1er Cru 'Les Chalumaux',Michel Picard,Chassagne-Montrachet,France,64,4.3,0.0,3.2272727,,3.3181818,1.1363636,,https://www.vivino.com/GB/en/maison-michel-picard-les-chalumaux-puligny-montrachet-1er-cru/w/1220288
1220290,Teanum Alta Nero di Troia,Alta Nero di Troia,1,Red Wine,Puglia,Teanum,Puglia,Italy,572,3.6,14.0,2.2084455,,4.5767097,2.3129017,2.7359843,https://www.vivino.com/GB/en/teanum-alta-nero-di-troia/w/1220290
1220291,Perseverance Sonoma County Old Zinfandel,Sonoma County Old Zinfandel,1,Red Wine,Sonoma County,Perseverance,California,United States,83,3.7,0.0,1.6537313,,4.8880596,2.0398507,2.338209,https://www.vivino.com/GB/en/perseverance-sonoma-county-old-zinfandel-sonoma-county/w/1220291
1220299,Rocca Belconte,Belconte,1,Red Wine,Salento,Rocca,Lombardia,Italy,779,3.9,14.0,2.4480977,,4.415706,2.9324756,2.9269512,https://www.vivino.com/GB/en/rocca-lombardia-salento-belconte-rosso/w/1220299
1220300,Escorihuela Gascón Viognier,Viognier,2,White Wine,Agrelo,Escorihuela Gascón,Mendoza,Argentina,2751,3.7,13.6,1.8030852,,3.4512885,2.856116,,https://www.vivino.com/GB/en/escorihuela-gascon-viognier/w/1220300
1220301,Viansa Thalia,Thalia,1,Red Wine,North Coast,Viansa,Sonoma County,United States,41,4.4,0.0,4.0,,5.0,1.0,3.7413793,https://www.vivino.com/GB/en/viansa-thalia/w/1220301
1220303,Franco Serra Barolo,Barolo,1,Red Wine,Barolo,Franco Serra,Piemonte,Italy,1184,3.7,13.5,4.7185435,,3.8924835,1.3345774,4.3678026,https://www.vivino.com/GB/en/franco-serra-barolo/w/1220303
1220305,Adega Ponte da Barca Las Lilas Branco,Las Lilas Branco,2,White Wine,Vinho Verde,Adega Ponte da Barca,Vinho Verde,Portugal,304,3.8,10.0,4.5433874,,1.498282,1.1912967,,https://www.vivino.com/GB/en/ponte-da-barca-las-lilas-branco/w/1220305
1220312,Dr Karl Christoffel Riesling,Riesling,2,White Wine,Mosel,Dr Karl Christoffel,Mosel,Germany,117,3.7,0.0,4.8024206,,2.875032,1.8806368,,https://www.vivino.com/GB/en/dr-karl-christoffel-riesling/w/1220312
1220317,Mourchon Côtes du Rhône Red,Côtes du Rhône Red,1,Red Wine,Côtes-du-Rhône,Mourchon,Côtes-du-Rhône,France,427,3.6,14.0,3.5403404,,3.8208377,1.5564398,3.267647,https://www.vivino.com/GB/en/domaine-de-mourchon-cotes-du-rhone-red/w/1220317
1220320,Mourchon Family Réserve Grenache Côtes-du-Rhône-Villages 'Seguret',Family Réserve Grenache Côtes-du-Rhône-Villages 'Seguret',1,Red Wine,Côtes-du-Rhône-Villages 'Seguret',Mourchon,Côtes-du-Rhône,France,291,4.1,15.0,3.4816766,,4.0254717,1.8412524,3.421301,https://www.vivino.com/GB/en/domaine-de-mourchon-family-reserve-cotes-du-rhone-villages-grenache/w/1220320
1220324,Lagar do Merens 30 Copelos,30 Copelos,1,Red Wine,Ribeiro,Lagar do Merens,Castilla y León,Spain,291,3.8,13.0,3.407543,,3.5786,1.4345429,2.6330285,https://www.vivino.com/GB/en/lagar-do-merens-30-copelos-ribeiro/w/1220324
1220327,Château Bellevue Rougier Bordeaux,Bordeaux,1,Red Wine,Bordeaux,Château Bellevue Rougier,Bordeaux,France,722,3.5,12.0,3.7689157,,3.3765059,1.6152611,3.3208435,https://www.vivino.com/GB/en/bellevue-rougier-bordeaux/w/1220327
1220328,Kuehn Fût de Chêne Pinot Noir Alsace,Fût de Chêne Pinot Noir Alsace,1,Red Wine,Alsace,Kuehn,Alsace,France,35,3.2,12.5,4.065,,2.0,1.0,2.0,https://www.vivino.com/GB/en/kuehn-137054-fut-de-chene-pinot-noir-alsace/w/1220328
1220330,Matua Syrah Reserve Release,Syrah Reserve Release,1,Red Wine,Hawke's Bay,Matua,Auckland,New Zealand,13,3.5,0.0,3.620769,,3.4711537,1.7076925,3.6987178,https://www.vivino.com/GB/en/matua-valley-syrah-reserve-release/w/1220330
1220332,M. Chapoutier Belleruche Côtes du Rhône Rosé,Belleruche Côtes du Rhône Rosé,4,Rosé Wine,Côtes-du-Rhône,M. Chapoutier,Rhone Valley,France,8201,3.8,13.0,3.2955098,,3.4645238,1.7454154,,https://www.vivino.com/GB/en/m-chapoutier-belleruche-cotes-du-rhone-rose/w/1220332
1220337,Vincent Girardin Chassagne-Montrachet 1er Cru 'Clos de La Truffière',Chassagne-Montrachet 1er Cru 'Clos de La Truffière',2,White Wine,Chassagne-Montrachet Premier Cru,Vincent Girardin,Bourgogne,France,197,4.3,13.5,3.2707863,,3.2932582,1.0449438,,https://www.vivino.com/GB/en/vincent-girardin-chassagne-montrachet-premier-cru-clos-de-la-truffiere/w/1220337
1220342,Principe di San Martino 168 Dalian,168 Dalian,1,Red Wine,Puglia,Principe di San Martino,Puglia,Italy,154,4.1,13.0,1.9699323,,4.783311,3.1744595,2.2120948,https://www.vivino.com/GB/en/san-martino-84111-onehundredsixtyeight-dalian/w/1220342
