year,id,wine_id,vintage_ratings_count,vintage_ratings_average
2016,161692858,5047239,10,4.1
2015,157398118,5047239,18,4.3
2014,155314096,5047239,19,4.1
2018,163857961,5047240,10,4.0
2020,165023036,5047241,14,4.3
2019,161120631,5047241,68,3.9
2014,149917746,5047241,155,4.1
2013,152574539,5047241,19,4.3
2017,157984288,5047245,26,3.5
2016,156186634,5047245,19,3.6
2015,148553109,5047245,38,3.0
2019,162925993,5047257,23,3.6
2018,159685364,5047257,47,3.2
2017,155782527,5047257,49,3.6
2016,148554876,5047257,37,3.3
2015,148553152,5047257,74,3.7
2017,163040099,5047285,13,4.5
2019,165432548,5047286,25,4.0
2018,156380033,5047286,88,4.1
2017,157454696,5047286,102,3.9
2016,149871048,5047286,51,3.8
2015,148553270,5047286,76,4.1
2014,148641695,5047286,57,4.0
2013,149940588,5047286,32,3.8
2012,151596282,5047286,36,4.0
2011,2446683,5047286,11,4.1
2010,156795356,5047286,15,3.8
2008,155955412,5047286,23,4.5
2014,151187259,5047295,11,4.0
2012,149550623,5047295,21,4.3
2016,157854798,5047297,13,4.3
2015,152269692,5047297,23,4.5
2014,148553328,5047297,30,4.3
2016,155069388,5047298,60,3.8
2014,148553333,5047298,87,3.8
2015,148553375,5047305,27,3.6
2017,153064461,5047315,34,3.8
2016,152860849,5047315,16,3.7
2015,149634719,5047315,60,4.1
2014,150848511,5047315,37,3.9
1908,151636092,5047315,10,3.1
2016,152026534,5047335,15,3.7
2015,149522445,5047335,20,3.8
2016,155122137,5047340,10,4.3
2015,152405591,5047340,45,4.4
2014,156034573,5047340,54,4.2
2013,152330558,5047340,52,4.3
2011,148628864,5047340,16,4.6
2014,156341755,5047341,11,4.2
2015,154332700,5047345,10,4.4
2018,157979905,5047349,11,3.7
2016,152929796,5047349,56,3.9
2015,155800466,5047349,32,3.6
2014,151011080,5047349,150,3.5
2013,151031404,5047349,22,3.9
2011,149036867,5047349,60,3.7
2010,150968639,5047349,12,3.6
2013,148797086,5047381,14,3.8
2013,148995488,5047421,78,4.0
2012,148554033,5047421,17,3.8
2015,155096821,5047427,18,4.5
2014,152934093,5047427,20,4.3
2013,148617324,5047427,21,4.4
2018,163083384,5047430,35,3.6
2017,158837458,5047430,40,3.6
2016,149298241,5047430,30,3.9
2015,153350706,5047430,22,3.5
2014,148554079,5047430,34,4.1
2017,158098906,5047440,37,4.0
2016,152980458,5047440,15,3.8
2015,148554159,5047440,20,4.1
2015,152694570,5047445,21,4.3
2014,152500317,5047445,19,4.1
2013,148903749,5047445,25,4.1
2018,164575365,5047447,26,3.8
2016,151646565,5047447,21,4.0
2018,160371962,5047496,35,3.9
2016,156572382,5047496,42,3.8
2015,149334148,5047496,21,4.0
2013,148554473,5047496,15,3.8
2017,158919152,5047506,14,4.3
2016,151071800,5047506,25,4.0
2015,151071804,5047506,57,4.1
2014,149433465,5047506,37,4.0
2013,148554551,5047506,29,3.8
2016,160377371,5047519,113,3.7
2015,148554647,5047519,75,3.4
2013,148566223,5047519,28,3.5
2018,159709616,5047531,48,3.6
2017,154658999,5047531,132,3.4
2016,152735783,5047531,82,3.3
2015,148610370,5047531,77,3.7
2014,149019034,5047531,58,3.8
2013,148619214,5047531,127,4.1
2012,148566847,5047531,12,4.2
2016,158429473,5047536,12,4.1
2016,152824725,5047540,13,3.0
2015,148706174,5047540,53,3.0
2016,152145658,5047542,21,3.8
2015,150049522,5047542,36,4.1
2012,148554845,5047553,23,4.0
2017,157115861,5047557,24,3.7
2016,155398892,5047557,37,3.8
2015,149354532,5047557,19,3.9
2013,155656831,5047565,40,4.1
2012,148530809,5047565,43,4.1
2017,150742543,5047571,27,4.5
2016,150650687,5047571,46,4.2
2015,148895132,5047571,41,4.1
2014,148554941,5047571,33,4.2
2013,148763636,5047571,16,4.4
2014,151596173,5047574,11,4.2
2013,151403745,5047574,11,4.1
2012,149068309,5047574,25,4.4
2017,155452725,5047588,10,3.8
2015,148836951,5047588,17,3.8
2015,155389776,5047605,18,4.3
2014,148571966,5047605,17,4.2
2017,159063304,5047617,32,3.9
2015,148990188,5047617,45,3.5
2014,148555250,5047617,41,3.7
2015,156060747,5047619,19,4.5
2014,148555258,5047619,12,4.2
2015,153107960,5047631,48,3.6
2014,148555342,5047631,40,3.9
2017,159186736,5047640,11,4.1
2016,156516308,5047640,19,4.2
2015,156598837,5047640,29,4.2
2014,149942186,5047640,26,4.2
2013,148646675,5047640,26,4.1
2018,162521794,5047644,33,4.1
2017,159037861,5047644,63,4.1
2016,152980470,5047644,24,3.6
2015,148555448,5047644,18,3.9
