id,full_name,name,type_id,type,wine_region,winery,winery_region,country,ratings_count,ratings_average,alcohol,acidity,fizziness,intensity,sweetness,tannin,url
2722206,Silver Ghost Cabernet Sauvignon,Cabernet Sauvignon,1,Red Wine,Central Valley,Silver Ghost,Central Valley,Chile,1771,3.5,13.0,3.0030103,,4.3122387,1.5645647,3.096704,https://www.vivino.com/GB/en/silver-ghost-cabernet-sauvignon/w/2722206
2722221,Sélection Excelsus - Jean-Claude Favre Fendant,Fendant,2,White Wine,Chamoson,Sélection Excelsus - Jean-Claude Favre,Valais,Switzerland,74,3.9,0.0,4.0,,2.5,1.0,,https://www.vivino.com/GB/en/jean-claude-favre-chamoson/w/2722221
2722226,Château Frédéric Monplaisir Bordeaux Rouge,Monplaisir Bordeaux Rouge,1,Red Wine,Bordeaux,Château Frédéric,Bordeaux,France,223,3.5,12.5,3.5679998,,4.0,1.126,3.8140001,https://www.vivino.com/GB/en/frederic-monplaisir-bordeaux-rouge/w/2722226
2722260,August Kesseler Selection Schwander Pinot Noir Trocken,Selection Schwander Pinot Noir Trocken,1,Red Wine,Rheingau,August Kesseler,Rheingau,Germany,130,4.0,13.5,4.0526667,,1.6773334,1.5267879,2.1841817,https://www.vivino.com/GB/en/august-kesseler-selection-schwander-pinot-noir-trocken/w/2722260
2722280,Primo Passo Consacrato Rosso,Consacrato Rosso,1,Red Wine,Verona,Primo Passo,Amarone della Valpolicella,Italy,11,3.6,0.0,2.0,,4.0227275,1.6190909,3.0,https://www.vivino.com/GB/en/primo-passo-consacrato-rosso/w/2722280
2722308,Costa Catterina Roero,Roero,1,Red Wine,Roero,Costa Catterina,Piemonte,Italy,34,3.9,0.0,2.3160713,,4.2421427,1.5285715,3.2559404,https://www.vivino.com/GB/en/costa-catterina-roero/w/2722308
2722328,Louis Pascal Cahors Malbec,Cahors Malbec,1,Red Wine,Cahors,Louis Pascal,Southern Rhône,France,406,3.2,0.0,3.195846,,3.7967694,1.3655385,3.6317692,https://www.vivino.com/GB/en/louis-pascal-cahors-malbec/w/2722328
2722342,Francois Carillon Puligny-Montrachet 1er Cru 'Les Combettes',Puligny-Montrachet 1er Cru 'Les Combettes',2,White Wine,Puligny-Montrachet 1er Cru 'Les Combettes',Francois Carillon,Côte de Beaune,France,335,4.3,13.5,3.3837605,,3.5052998,1.9937193,,https://www.vivino.com/GB/en/francois-carillon-puligny-montrachet-1er-cru-les-combettes/w/2722342
2722361,La Delizia Prosecco Extra Dry,Prosecco Extra Dry,3,Sparkling,Prosecco,La Delizia,Friuli-Venezia Giulia,Italy,1213,3.6,11.0,3.5753615,3.786835,2.0341065,,,https://www.vivino.com/GB/en/la-delizia-prosecco-extra-dry/w/2722361
2722369,Matthew Fritz Sauvignon Blanc,Sauvignon Blanc,2,White Wine,North Coast,Matthew Fritz,Sonoma County,United States,204,3.5,14.1,3.8809612,,2.8860362,1.261922,,https://www.vivino.com/GB/en/matthew-fritz-sauvignon-blanc/w/2722369
2722381,Reverdito Verduno Pelaverga,Verduno Pelaverga,1,Red Wine,Verduno,Reverdito,Barolo,Italy,206,3.8,14.0,2.839799,,3.798161,1.6939656,2.9740803,https://www.vivino.com/GB/en/reverdito-verduno-pelaverga/w/2722381
2722412,Vinicola Santo Domingo Nebbiolo,Nebbiolo,1,Red Wine,Ensenada,Vinicola Santo Domingo,Baja California,Mexico,195,4.1,0.0,3.6294506,,4.051868,1.0332967,3.3473625,https://www.vivino.com/GB/en/vinicola-santo-domingo-nebbiolo/w/2722412
2722416,Domaine Perrin Ladoix Premier Cru 'Les Joyeuses',Ladoix Premier Cru 'Les Joyeuses',1,Red Wine,Ladoix Premier Cru,Domaine Perrin,Bourgogne,France,60,3.9,0.0,4.0,,2.5,1.9302325,2.1046512,https://www.vivino.com/GB/en/domaine-perrin-bourgogne-bourgogne-ladoix-1er-cru-les-joyeuses/w/2722416
2722478,Château Cavalier 360 de Cavalier Côtes de Provence,360 de Cavalier Côtes de Provence,4,Rosé Wine,Provence,Château Cavalier,Côtes de Provence,France,22,3.5,0.0,4.0,,2.5,1.0,,https://www.vivino.com/GB/en/fr-chateau-cavalier-threehundredsixty-de-cavalier-cotes-de-provence-provence/w/2722478
2722483,Château Les Maurinieres Castillon Côtes de Bordeaux,Castillon Côtes de Bordeaux,1,Red Wine,Castillon - Côtes de Bordeaux,Château Les Maurinieres,Castillon - Côtes de Bordeaux,France,283,3.8,0.0,3.9193637,,3.9297276,1.1214546,3.6846364,https://www.vivino.com/GB/en/les-maurinieres-castillon-cotes-de-bordeaux/w/2722483
