year,id,wine_id,vintage_ratings_count,vintage_ratings_average
2013,156113518,1645588,17,4.3
2013,141818108,1645601,10,3.5
2011,2511013,1645601,19,3.9
2012,4015442,1645641,10,4.3
2019,164671324,1645643,11,3.7
2018,160941330,1645643,15,3.8
2017,158878342,1645643,17,4.2
2016,156271682,1645643,11,4.0
2015,19393017,1645643,15,4.3
2017,151346871,1645676,18,4.3
2016,120534242,1645676,61,4.6
2015,34716279,1645676,99,4.5
2014,20232405,1645676,141,4.5
2013,5069029,1645676,136,4.5
2012,5606933,1645676,181,4.6
2011,4455991,1645676,104,4.5
2010,2511283,1645676,93,4.5
2009,2734423,1645676,67,4.5
2008,3420631,1645676,23,4.5
2007,2873574,1645676,19,4.7
2006,2704327,1645676,21,4.1
2005,3020616,1645676,19,3.8
2017,152237900,1645690,11,3.8
2016,144510818,1645690,52,3.9
2015,15802866,1645690,86,4.0
2014,4631082,1645690,43,3.6
2013,13266064,1645690,55,3.7
2012,2521887,1645690,57,4.0
2011,2969868,1645690,81,3.8
2010,2511330,1645690,13,3.8
2017,151347959,1645712,23,3.6
2014,4055500,1645712,16,2.9
2013,48971174,1645712,13,3.8
2012,10062559,1645712,11,3.3
2009,2710058,1645712,10,3.8
2016,144535210,1645715,17,4.4
2014,4586124,1645715,12,4.0
2013,4586130,1645715,14,4.1
2015,152301755,1645720,24,4.2
2013,69435984,1645720,18,4.3
2011,3441807,1645720,23,3.7
2016,141548240,1645731,13,3.4
2015,91589700,1645731,30,3.3
2014,29035503,1645731,15,3.1
2017,153224804,1645739,28,3.3
2015,143035066,1645740,12,3.1
2017,161256090,1645756,31,3.9
2016,156757246,1645756,38,3.8
2015,45033938,1645756,48,4.0
2014,53859618,1645756,18,3.9
2013,19359388,1645756,18,3.5
2012,9859389,1645756,24,4.1
2012,2588669,1645762,15,3.6
2011,9489936,1645762,29,3.9
2014,30756512,1645764,122,3.7
2012,9290702,1645764,59,3.6
2011,3754980,1645764,24,3.1
2010,3779768,1645764,24,3.6
2009,2636733,1645764,55,3.4
2010,2548075,1645766,58,4.3
2009,2847299,1645766,11,4.7
2008,2549842,1645766,12,4.1
2019,161525142,1645768,26,3.9
2018,159997909,1645768,49,3.9
2017,153022585,1645768,41,3.8
2016,140609626,1645768,20,3.9
2015,147985581,1645768,22,3.8
2014,41711628,1645768,127,4.0
2013,8470489,1645768,72,4.0
2012,2849609,1645768,21,3.7
2011,2511582,1645768,19,3.7
2010,2931685,1645768,16,4.4
2016,150180557,1645772,204,4.2
2015,149319871,1645772,97,3.7
2014,11544326,1645772,98,3.7
2013,64492944,1645772,34,4.1
2012,18222135,1645772,35,4.0
2011,5129717,1645772,61,3.8
2008,1320524,1645772,11,3.8
2018,163490359,1645774,11,3.3
2017,155303693,1645774,22,3.2
2016,154909282,1645774,38,4.0
2015,147830738,1645774,35,3.5
2014,106939619,1645774,19,3.6
2013,59108745,1645774,36,3.4
2012,5064906,1645774,20,3.4
2010,4340102,1645774,33,3.5
2009,3561086,1645774,19,4.0
2016,152320300,1645781,13,4.2
2015,154608943,1645781,16,4.4
2014,131683478,1645781,42,4.3
2013,25394774,1645781,38,4.0
2012,6787659,1645781,17,4.2
2011,2511605,1645781,53,4.1
2001,19568666,1645784,159,4.0
2018,160030164,1645794,10,3.7
2016,155664768,1645794,48,3.9
2014,21717847,1645794,14,3.7
2013,11361676,1645794,18,3.5
2014,23356684,1645797,11,3.3
2016,146335192,1645807,183,3.7
2015,27297665,1645807,153,3.7
2014,19707817,1645807,196,3.5
2013,3642170,1645807,151,3.5
2012,3041548,1645807,20,4.1
2011,2511665,1645807,174,3.2
2018,160326738,1645816,14,3.9
2016,151891417,1645816,13,3.5
2014,27179776,1645816,15,3.8
2013,6610843,1645816,24,3.7
2018,159549305,1645818,14,3.4
2017,150428394,1645818,156,3.7
2016,148024120,1645818,174,3.6
2015,20701404,1645818,107,3.4
2014,9729197,1645818,224,3.5
2013,4162043,1645818,160,3.5
2012,4000606,1645818,239,3.3
2011,3884662,1645818,104,3.4
2010,2972588,1645818,27,3.2
2009,2511683,1645818,134,3.3
2008,2538289,1645818,30,3.1
2007,7726850,1645818,13,3.9
2016,141890399,1645823,59,4.2
2015,143776995,1645823,70,4.2
2019,163711888,1645827,16,4.1
2018,157697912,1645827,80,3.9
2017,155873389,1645827,45,4.1
2016,145021896,1645827,27,3.9
2015,142553582,1645827,83,3.8
2014,5626682,1645827,94,3.9
2013,7908162,1645827,126,3.9
2012,3424053,1645827,59,4.0
2011,2511700,1645827,21,4.0
2013,126063431,1645834,22,3.8
2012,25033136,1645834,11,3.8
2010,11349670,1645834,14,4.3
2006,3273087,1645834,14,4.3
2016,157896430,1645835,10,3.4
2018,156265857,1645844,76,3.6
2017,152159577,1645844,160,3.6
2016,121198457,1645844,181,3.8
2015,22622889,1645844,186,3.6
2014,6764362,1645844,549,3.8
2013,3587291,1645844,447,3.7
2012,2521914,1645844,560,3.7
2011,2511734,1645844,114,3.6
2010,2521916,1645844,77,3.8
2009,2676779,1645844,26,3.6
2008,2734407,1645844,19,3.6
2007,3120468,1645844,11,3.1
2018,156233429,1645873,13,4.2
2017,150926877,1645873,11,4.4
