year,id,wine_id,vintage_ratings_count,vintage_ratings_average
2018,159943135,6590231,92,3.7
2017,158405281,6590231,810,4.0
2016,157962231,6590231,492,3.7
2017,158013918,6590245,45,4.0
2017,158400369,6590250,24,3.6
2019,162673089,6590254,223,3.9
2018,159677763,6590254,209,3.7
2017,157974082,6590254,216,3.8
2016,157974081,6590254,51,3.9
2015,157974080,6590254,27,3.6
2017,157968619,6590268,39,3.4
2016,158201620,6590268,59,3.3
2017,162489150,6590277,18,3.4
2016,158058897,6590277,39,3.3
2017,158089849,6590300,19,4.1
2018,160483542,6590310,19,3.6
2018,160967039,6590318,14,4.0
2017,159583797,6590318,10,3.8
2016,159031670,6590318,1115,4.1
2015,158607875,6590318,868,4.0
2014,158494814,6590318,138,4.1
2018,160313481,6590328,20,3.9
2017,158327196,6590328,12,3.5
2016,157992469,6590328,20,4.1
2015,157960392,6590328,50,3.7
2014,157983145,6590328,18,3.4
2017,158484168,6590348,21,3.5
2014,159462829,6590348,17,3.2
2017,160064354,6590379,15,4.0
2018,160534965,6590445,11,3.7
2017,158523270,6590445,17,3.7
2018,158769671,6590495,47,3.5
2017,158052006,6590495,20,3.4
2019,160781181,6590505,226,4.1
2018,159603328,6590505,313,4.2
2017,157963257,6590505,199,3.9
2018,160125315,6590564,10,3.6
2017,158613238,6590564,10,3.6
2020,163223710,6590571,34,3.4
2019,160718913,6590571,70,3.6
2018,157990641,6590571,52,3.5
2017,157962978,6590571,81,3.5
2016,157968041,6590571,19,3.8
2018,160154520,6590635,246,3.8
2017,157961076,6590635,611,4.0
2016,158610445,6590725,12,3.9
2016,157960941,6590817,11,3.7
2015,157961059,6590863,21,3.6
2019,160905535,6590966,13,3.4
2018,160060564,6590966,16,4.2
2015,158238324,6590969,17,3.4
2019,164978848,6591164,24,3.5
2018,159656053,6591164,43,3.5
2019,164783432,6591253,49,3.6
2018,158090299,6591253,170,3.9
2017,158451142,6591253,78,3.8
2018,158851234,6591286,61,3.9
2016,159456525,6591286,117,3.8
2015,157962452,6591286,927,3.8
2019,161654669,6591340,15,3.7
2018,158911487,6591340,15,3.6
2014,157964943,6591994,14,3.8
2014,157964960,6592000,29,3.3
2016,158696896,6592020,10,3.7
2016,157965037,6592026,3196,3.5
2016,157965048,6592030,3161,3.4
2019,163903699,6592243,19,4.1
2018,160474920,6592243,16,3.9
2014,157988160,6592251,27,3.9
2018,160948547,6592254,21,3.5
2017,158301864,6592254,34,3.7
2018,160391102,6592259,32,4.5
2017,157965711,6592268,18,3.8
2017,158274750,6592274,28,3.9
2016,158244050,6592274,16,4.0
2015,158209077,6592274,23,3.9
2017,157968286,6592277,94,3.9
2017,157967079,6592289,29,3.6
2016,158182143,6592300,91,3.8
2018,158661867,6592321,872,3.9
2017,160168181,6592321,221,3.8
2016,157965849,6592321,107,3.8
2017,160465191,6592338,11,4.0
2017,158300637,6592342,17,3.4
2016,157965919,6592347,613,3.8
2017,161002519,6592355,22,4.2
2016,158060570,6592355,16,4.2
2014,158016352,6592375,25,4.5
2018,158173392,6592380,11,3.1
2017,158838506,6592380,85,3.6
2016,157970506,6592380,15,2.8
2009,158089713,6592391,16,4.6
2020,163569341,6592441,240,3.3
2019,161940949,6592441,491,3.4
2018,158778421,6592441,483,3.4
2017,157994702,6592441,17,3.1
2016,158859821,6592441,12,3.1
2018,159688822,6592484,212,3.7
2017,158370787,6592484,478,3.8
2016,157966979,6592484,525,3.8
2018,161666725,6592487,12,3.7
2014,158001170,6592553,10,4.2
2016,157968513,6592574,176,3.5
2017,158592561,6592599,67,3.4
2018,160012121,6592724,29,3.9
2017,159145532,6592724,16,3.9
2019,165586581,6592855,41,3.2
2018,161234555,6592855,64,3.1
2017,157967445,6592855,69,3.2
2018,164845671,6592890,19,3.6
2017,160662689,6592890,10,3.7
2016,157967610,6592890,14,3.6
2020,164933586,6592924,11,3.8
2019,163920666,6592924,24,3.9
2018,160460428,6592924,19,3.4
2017,157967475,6592924,23,4.0
2014,157974732,6592943,528,3.8
2019,161140029,6592956,153,3.4
2018,158307668,6592956,276,3.4
2017,157968250,6592956,250,3.5
2019,159595114,6592997,25,3.5
2018,158803081,6592997,439,3.5
2017,157994028,6592997,282,3.7
2018,160310541,6593019,27,3.7
2017,158736666,6593019,49,3.7
2016,157970547,6593019,86,3.5
2019,160144110,6593023,226,3.7
2018,160030313,6593023,318,3.5
2017,157980926,6593023,155,3.3
2016,159051939,6593023,16,3.2
2018,159835216,6593034,30,4.0
2016,158092515,6593034,24,3.9
2018,161150865,6593039,34,3.5
2016,158168207,6593039,25,3.3
2019,161630746,6593042,40,3.2
2018,158134643,6593042,127,3.4
2017,157968126,6593042,62,3.0
2014,159004227,6593042,13,3.7
2017,158329364,6593061,65,3.4
2013,157968763,6593258,31,3.8
2015,157969667,6593470,14,4.1
2018,159034838,6593682,39,4.0
2017,159995953,6593682,24,3.9
2016,157970364,6593682,20,3.8
2016,157971495,6594035,203,3.6
2017,159987411,6594041,168,3.8
2016,157971513,6594041,128,3.5
2018,162966027,6594052,23,4.3
2017,160434753,6594052,17,4.1
2016,158085914,6594052,47,4.0
2015,158154018,6594052,17,4.1
2016,159032317,6594058,23,3.2
2018,159861195,6594064,13,3.7
2016,157974675,6594128,35,4.0
2016,162423906,6594130,10,4.2
2015,157971699,6594130,12,3.7
2015,158129822,6594192,13,4.3
2020,164772234,6594203,10,3.5
2019,161339049,6594203,35,3.0
2018,158557152,6594203,50,3.2
2017,158782057,6594203,71,3.5
2016,157996255,6594203,22,3.2
2019,163139176,6594359,64,3.7
2018,159995959,6594359,68,3.7
2017,157972102,6594359,35,3.7
2016,158085930,6594414,19,3.2
