year,id,wine_id,vintage_ratings_count,vintage_ratings_average
2015,17703028,17,14,3.7
2014,4156439,17,16,3.5
2013,3514631,17,45,3.9
2012,2723071,17,20,3.5
2011,1603049,17,11,4.0
2018,159095709,19,45,4.3
2017,154325162,19,58,4.3
2016,141454474,19,60,4.2
2015,20216458,19,34,4.0
2014,9188398,19,70,4.3
2013,9188396,19,94,4.2
2012,3088622,19,101,4.4
2011,2445625,19,32,4.3
2010,2494855,19,59,4.1
2009,1756168,19,19,3.8
2008,2073295,19,13,4.1
2007,1162171,19,65,4.3
2018,164677311,20,17,4.4
2017,154335764,20,65,4.2
2016,156269409,20,48,4.3
2014,138201713,20,27,4.2
2013,20796191,20,60,4.0
2012,4359606,20,56,4.1
2011,3875055,20,26,4.5
2010,2739193,20,29,3.9
2009,1699437,20,18,4.5
2013,32743293,23,19,3.9
2012,3727670,23,15,3.7
2010,2381484,23,12,3.7
2015,143992914,35,10,3.1
2014,14727259,35,19,3.9
2013,14134643,35,17,3.5
2008,3106070,35,10,3.6
2014,14625592,37,46,3.8
2013,103860216,37,59,3.8
2012,7295138,37,27,3.6
2011,15784020,37,25,3.2
2010,3324384,37,41,3.8
2009,1501396,37,28,3.8
2006,2140292,37,16,3.9
2005,3142772,37,12,3.6
2018,156503004,46,21,3.8
2017,155161519,46,29,3.8
2016,148764556,46,121,3.8
2015,19371805,46,113,3.9
2014,19146681,46,398,3.9
2013,4171469,46,174,3.8
2012,2561506,46,224,3.7
2011,1674625,46,256,3.7
2010,2508410,46,71,3.9
2009,1338727,46,50,4.1
2008,1187722,46,18,3.7
2018,156560391,90,26,3.5
2017,152263956,90,15,3.7
2016,149952288,90,50,4.0
2015,29001600,90,17,3.8
2014,8356082,90,36,3.8
2013,5907096,90,66,4.0
2012,2239778,90,56,3.8
2011,2052795,90,56,3.7
2010,1506478,90,31,3.6
2009,1377402,90,11,3.8
2019,163414698,91,54,4.0
2018,159840888,91,61,4.0
2017,152867919,91,70,3.8
2016,141694100,91,53,3.8
2015,24680743,91,139,3.9
2014,5566534,91,90,4.0
2013,2424611,91,73,3.9
2012,2338801,91,31,3.9
2011,1515189,91,40,3.9
2010,1279554,91,35,3.9
2017,152712885,97,26,3.8
2015,143861510,97,43,3.7
2014,36688445,97,26,3.8
2013,6732174,97,42,3.6
2012,2893649,97,30,4.0
2010,1310853,97,16,4.0
2016,156607422,104,11,3.7
2018,162201896,113,13,4.2
2017,159761384,113,59,4.3
2016,150420456,113,29,4.0
2018,160090798,114,14,4.3
2017,156456269,114,15,4.2
2016,147588507,114,41,4.3
2015,38119158,114,38,4.2
2014,25835737,114,17,4.2
2013,5602961,114,40,3.9
2012,3606932,114,41,4.2
2011,2076086,114,41,4.1
2010,1331144,114,30,4.1
2009,1680543,114,19,4.3
2008,1442618,114,19,4.4
2007,1499034,114,12,4.3
2006,1296394,114,30,4.4
2018,162111907,115,147,4.4
2017,152557184,115,115,4.4
2016,145180227,115,190,4.4
2015,14316006,115,64,4.4
2014,7243734,115,68,4.4
2013,4190312,115,67,4.2
2012,3606930,115,74,4.4
2011,2941881,115,61,4.3
2010,1938006,115,38,4.4
2009,1445148,115,26,4.1
2008,1806254,115,17,4.7
2007,1499035,115,27,4.1
2006,1807656,115,22,4.4
2005,163,115,13,4.5
2016,95167788,116,12,4.0
2015,14486420,116,444,4.3
2014,4376340,116,508,4.2
2013,4024663,116,351,4.2
2012,3626905,116,553,4.1
2011,2270576,116,274,4.1
2010,1430699,116,207,3.9
2009,1314188,116,89,4.2
2008,1176512,116,48,4.3
2007,1147135,116,95,4.0
2006,164,116,44,4.3
2005,2104539,116,13,4.4
2003,1800292,116,15,4.3
2002,3885100,116,11,4.0
1996,4412563,116,11,4.0
2015,146284852,122,13,3.8
2014,14506352,122,33,3.6
2013,12586741,122,22,3.8
2012,7915024,122,18,4.0
2010,12147829,124,14,3.8
2016,154569593,126,10,3.7
2014,145096598,126,15,4.0
2012,2873675,126,20,4.0
2011,11127956,126,17,3.8
2010,3318579,126,27,3.7
2009,2180435,126,12,4.0
2018,162317486,127,67,4.0
2017,154625006,127,91,4.1
2016,154176487,127,82,4.1
2015,144350309,127,98,4.1
2014,5102917,127,128,4.1
2013,4356671,127,54,4.1
2012,4356672,127,52,4.1
2011,2805885,127,75,3.9
2010,1937517,127,87,3.9
2009,1243188,127,73,4.0
2008,1344825,127,22,4.5
2006,185,127,20,4.1
2017,151404376,128,250,3.8
2016,107116063,128,376,3.8
2015,15712508,128,710,4.0
2014,4426293,128,828,4.0
2013,2910276,128,747,3.9
2012,1843672,128,533,3.9
2011,1576576,128,488,3.6
2010,1429010,128,210,3.7
2009,1252026,128,134,3.8
2008,1164706,128,79,3.6
2006,187,128,11,3.4
2017,150906790,130,15,3.7
2016,92924151,130,29,3.7
2015,18597266,130,57,3.7
2014,12838859,130,50,3.7
2013,3179157,130,24,3.7
2012,3412992,130,86,3.9
2011,1469678,130,81,3.9
2010,1390285,130,27,4.0
2016,150771734,135,19,3.7
2015,146185293,135,39,4.0
2014,141780631,135,55,3.9
2013,15845244,135,75,3.8
2012,6040857,135,46,3.7
2011,2483369,135,25,4.1
2013,10490072,138,14,3.1
2012,2355733,138,83,3.9
2011,1738174,138,146,3.7
2010,1681274,138,13,3.6
2009,1236623,138,73,4.0
2018,159911053,141,37,4.2
2017,154229535,141,69,4.2
2016,145885613,141,62,4.2
2015,145509202,141,83,4.1
2014,38658691,141,63,4.2
2013,12405644,141,45,4.3
2012,4537760,141,29,4.0
2011,2494650,141,24,3.9
2008,1372065,141,15,3.6
2017,161477740,142,11,4.3
2016,156972473,142,10,4.3
2015,68522674,142,21,4.0
2014,7910175,142,14,4.4
2017,161351196,144,11,4.7
2016,145339133,144,25,4.5
2015,78890635,144,35,4.3
2014,141115212,144,34,4.3
2013,14131555,144,17,4.3
2012,6034104,144,12,4.2
2011,3684934,144,15,3.7
2014,4361078,170,10,3.8
2012,4119226,170,26,4.2
2011,2752558,170,13,3.9
2010,2541007,170,32,3.4
2009,1875143,170,19,4.1
2007,1251324,170,25,3.5
2017,161048979,179,20,4.4
2016,152623299,179,10,4.2
2014,15294559,179,23,4.6
2013,35324589,179,12,4.4
2011,2843318,179,12,4.2
2007,1237901,179,10,3.1
2017,154699864,183,26,4.8
2016,124573118,183,33,4.5
2015,26690263,183,51,4.4
2014,5397073,183,138,4.4
2013,6432228,183,37,4.4
2012,1799666,183,35,4.1
2011,3196697,183,111,4.2
2010,2227688,183,74,4.3
2009,1401987,183,267,4.2
2008,1243831,183,86,4.1
2007,1225596,183,40,4.3
2006,1303430,183,64,4.1
2005,91728,183,28,4.2
2016,144668448,195,12,3.9
2015,144668461,195,45,3.8
2014,29080367,195,64,3.9
2013,9930598,195,36,3.9
2012,3177685,195,38,3.3
2011,3008891,195,23,3.5
2010,1818513,195,13,3.2
2009,1678260,195,11,3.5
2018,156403032,198,48,3.7
2017,150966075,198,142,3.6
2016,112604406,198,282,3.7
2015,14551139,198,545,3.6
2014,12914667,198,359,3.6
2013,3430716,198,258,3.7
2012,2100240,198,112,3.7
2011,1426946,198,106,3.7
2010,1329919,198,76,3.7
2009,1273403,198,75,3.6
2008,1299444,198,33,3.8
2006,291,198,17,3.6
2014,25002231,204,24,3.7
2013,6115315,204,33,4.2
2012,2572413,204,57,4.3
2011,8115242,204,77,4.1
2010,2218642,204,44,4.1
2009,1860219,204,72,4.1
2008,1449580,204,25,4.2
2007,302,204,17,3.9
2006,1470687,204,10,4.4
2010,2748569,205,10,3.7
2009,1310708,205,45,4.0
2007,2552493,205,11,4.3
2006,308,205,14,4.0
2016,154402945,236,13,3.6
2015,143289765,236,24,4.0
2014,29485210,236,21,4.1
2013,98297794,236,40,3.9
2012,10880936,236,18,3.8
2011,4631488,236,16,3.5
2010,2155164,236,19,4.1
2009,2446461,236,23,3.9
2007,1168635,236,19,3.8
2015,134712267,239,16,3.8
2018,160158322,255,21,4.0
2017,153213901,255,152,3.7
2016,128776251,255,159,3.7
2015,18923359,255,214,3.8
2014,23045210,255,159,3.8
2013,4490821,255,118,3.6
2012,2420186,255,111,3.9
2011,1550012,255,70,3.6
2010,1366793,255,21,3.4
2009,1184348,255,28,3.6
2015,28345878,256,11,3.2
2014,21071368,256,126,3.8
2013,5838936,256,38,3.6
2012,3051758,256,79,3.7
2011,1401943,256,31,4.0
2015,20335718,261,16,3.6
2014,13504866,261,40,3.9
2013,16216658,261,22,3.3
2012,5835903,261,15,3.5
2009,1420018,261,15,3.5
2008,1420003,261,11,3.5
2015,57640048,265,11,3.9
2014,20583392,265,19,3.4
2013,6200629,265,11,3.9
2011,1255166,265,21,3.4
2013,4308139,267,13,3.8
2008,1445277,267,33,3.3
2019,162228188,271,85,3.6
2018,156994251,271,144,4.0
2017,150423810,271,183,3.9
2016,148572826,271,108,4.1
2015,18176256,271,50,4.2
2014,12796802,271,177,3.8
2013,4631255,271,171,3.8
2012,1982109,271,57,4.1
2011,3249485,271,81,3.8
2010,1906380,271,106,2.8
2009,1258587,271,132,3.7
2008,1176174,271,53,3.9
2007,1203429,271,50,4.2
2006,1477215,271,14,3.8
2015,18176179,272,13,4.0
2018,156188892,287,14,4.1
2017,150765088,287,73,4.1
2016,92062991,287,300,4.1
2015,16403063,287,311,4.0
2014,9090868,287,589,4.0
2013,5757370,287,335,3.9
2012,2223215,287,342,3.9
2011,1364178,287,273,3.8
2010,1393095,287,185,3.9
2009,1254291,287,96,3.9
2008,1170585,287,35,3.6
2005,432,287,11,3.3
2019,160802360,288,22,3.8
2018,156308353,288,140,3.8
2017,152705596,288,250,3.8
2016,142871144,288,300,3.8
2015,20991341,288,302,3.7
2014,7140125,288,279,3.6
2013,3980734,288,197,3.9
2012,1844578,288,238,3.7
2011,1432201,288,123,3.8
2010,1246912,288,74,3.6
2009,1346106,288,25,4.1
2016,142630495,289,16,3.6
2015,84991143,289,21,4.1
2014,25952308,289,39,3.7
2013,8614482,289,40,3.6
2018,160600210,293,31,3.8
2017,156387883,293,27,4.0
2016,149310061,293,54,3.9
2015,144054900,293,56,3.7
2014,4507021,293,59,3.9
2013,2765172,293,30,3.6
2012,2418699,293,25,3.4
2011,1540704,293,12,4.0
2017,154421263,296,212,4.1
2016,129256919,296,346,4.2
2015,25748680,296,376,4.1
2014,4256362,296,576,4.1
2013,8071923,296,502,4.0
2012,3025411,296,601,4.1
2011,2284416,296,370,4.0
2010,1326398,296,151,4.0
2009,1247839,296,158,4.1
2008,1174818,296,33,3.9
2007,1665291,296,15,3.7
2006,88612,296,17,4.4
2001,1746722,296,22,4.1
2013,25828507,309,13,3.5
2012,3908572,309,10,3.4
2015,126984072,317,14,3.5
2014,22895796,317,18,3.5
2011,1860504,317,16,3.6
2017,159691121,340,28,4.1
2016,154664471,340,28,4.1
2012,5178255,340,11,3.4
2018,159819690,342,21,4.0
2017,152640386,342,25,4.1
2016,152236934,342,38,4.3
2015,141956162,342,24,3.5
2014,28169061,342,27,3.9
2013,22791971,342,14,4.0
2011,1192437,342,17,4.2
2010,1344775,342,10,3.9
2019,161786959,344,79,4.2
2018,156160732,344,299,4.1
2017,151810716,344,258,4.0
2016,103590770,344,256,4.0
2015,17378206,344,244,3.8
2014,21822324,344,333,4.0
2013,5277337,344,255,3.9
2012,2723548,344,181,3.7
2011,1508380,344,76,4.0
2010,1538584,344,12,3.2
2009,1182926,344,30,3.7
2008,1155457,344,37,4.2
2008,2487760,345,32,3.8
2006,1298366,345,18,3.8
2013,145281052,347,15,4.2
2012,37816678,347,10,4.2
2011,7025560,347,16,3.9
2013,6192314,362,11,3.5
2012,2928165,362,11,3.8
2011,2905506,370,12,3.5
2017,152170165,375,211,3.9
2016,149136475,375,382,3.9
2015,18032236,375,359,3.7
2014,16214550,375,378,3.6
2013,5032974,375,556,3.8
2012,2766676,375,311,3.7
2011,1788818,375,326,3.6
2010,1283522,375,60,3.5
2009,1410427,375,25,3.9
2008,1403107,375,11,3.7
2019,164275461,377,19,3.9
2017,151271125,377,25,3.7
2016,151726980,377,42,3.9
2015,142654511,377,66,3.8
2014,14006955,377,40,3.7
2013,4328273,377,47,3.8
2011,1579303,377,12,3.0
2015,151702095,378,23,4.1
2012,7294970,378,10,3.7
2015,143388395,411,10,3.8
2014,20654093,411,20,3.7
2013,14760107,411,12,3.8
2012,2927584,411,19,3.9
2011,2152478,411,13,3.2
2009,1369522,411,16,3.8
2012,4152074,413,22,3.6
2019,161265025,423,57,3.9
2018,160415948,423,77,3.8
2017,152791371,423,40,3.9
2016,153069120,423,21,3.8
2015,145065981,423,46,3.8
2014,5539322,423,58,3.6
2013,4436691,423,103,3.8
2012,2397326,423,52,4.0
2011,1377390,423,63,3.6
2015,152725721,433,71,3.5
2014,144052543,433,98,3.9
2013,6645490,433,36,3.7
2012,3002095,433,45,3.5
2011,2149185,433,41,3.0
2016,149416228,438,11,4.4
2010,2087080,449,26,4.0
2008,1167017,449,10,3.6
2007,1792114,449,15,3.9
2004,89031,449,14,3.7
2016,141580317,450,12,4.5
2015,29882106,450,19,4.4
2014,4847511,450,119,4.3
2013,2851605,450,452,4.3
2012,1629945,450,497,4.3
2011,2596872,450,99,4.2
2010,1959626,450,378,4.3
2009,1352276,450,150,4.2
2008,1547295,450,62,4.4
2007,1414807,450,188,4.3
2006,1235067,450,149,4.3
2005,1316559,450,43,4.4
2004,697,450,16,4.1
2003,91512,450,21,4.7
2000,1235066,450,10,4.1
2018,156125072,451,864,3.9
2017,150583144,451,1766,4.0
2016,95414783,451,2008,3.9
2015,14530593,451,1906,3.9
2014,9762249,451,2483,3.9
2013,2433227,451,1526,3.9
2012,2175774,451,1223,3.7
2011,2190970,451,608,3.7
2010,1249908,451,952,3.8
2009,1223629,451,132,3.6
2008,1161576,451,67,3.9
2007,89069,451,30,3.9
2006,82610,451,23,4.2
2005,85740,451,13,3.7
2004,709,451,10,3.3
2001,1833948,451,17,3.7
2000,2758214,451,21,3.6
1963,2836827,451,44,4.3
1962,2541487,451,167,3.8
1961,2703725,451,89,3.9
2018,156158669,452,143,3.6
2017,151629572,452,263,3.8
2016,98760372,452,400,3.8
2015,14643464,452,320,3.7
2014,6020867,452,368,3.9
2013,5131459,452,244,3.8
2012,2554465,452,274,3.5
2011,2662071,452,214,3.7
2010,2252796,452,240,3.7
2009,1276219,452,88,3.3
2008,1221260,452,43,3.5
2007,92692,452,14,3.9
2006,82620,452,11,3.9
2000,2427173,452,10,4.1
1962,2510767,452,48,3.5
1961,2692210,452,24,4.1
2018,156381388,453,63,3.8
2017,156286274,453,96,3.9
2016,149870307,453,132,4.0
2015,19968166,453,91,3.9
2014,6037213,453,119,3.8
2013,6037220,453,73,3.8
2012,3189548,453,91,3.8
2011,2400985,453,31,3.8
2010,1472798,453,49,3.5
1962,2633198,453,12,3.9
2018,156254620,455,12,3.3
2017,152421692,455,61,4.0
2016,94974838,455,98,3.8
2015,56345647,455,58,3.5
2014,20693803,455,141,3.7
2013,6990581,455,82,3.7
2012,4655436,455,92,3.8
2011,1972010,455,29,3.5
2010,2114710,455,49,3.3
2009,1664756,455,34,3.3
2008,1267931,455,16,2.8
2007,1181296,455,12,3.8
1962,2549326,455,11,4.1
2017,151167383,457,33,4.1
2016,127174153,457,30,3.4
2015,14891430,457,206,3.8
2014,6226751,457,670,3.8
2013,8773397,457,939,3.7
2012,3578959,457,878,3.7
2011,2308057,457,347,3.5
2010,1271024,457,381,3.7
2009,1311167,457,173,3.4
2008,1176064,457,25,3.6
2007,82982,457,72,3.5
2006,59294,457,11,3.3
2005,704,457,14,3.2
2012,12945810,459,33,4.0
2011,2957700,459,19,3.7
2010,3199022,459,11,4.3
2016,149970609,460,10,4.4
2014,4251929,460,46,4.3
2013,2845724,460,36,4.2
2018,156111737,462,165,3.6
2017,152657889,462,158,3.9
2016,149970591,462,267,3.7
2015,21257081,462,224,3.7
2014,12160726,462,275,3.7
2013,4085311,462,192,3.6
2012,2845223,462,126,3.6
2011,1373274,462,76,3.5
2010,1354723,462,67,3.4
2009,1235396,462,50,3.5
2007,1255677,471,10,3.6
2018,161594849,473,13,3.2
2017,152483304,473,12,3.6
2016,154228030,473,25,3.6
2015,28013742,473,25,3.8
2014,6633676,473,17,3.6
2013,5860428,473,28,3.5
2012,4063517,473,13,3.6
2011,2738817,473,16,3.1
2016,94669958,476,21,4.1
2015,16180070,476,43,3.8
2013,11090302,476,30,3.8
2012,1913600,476,19,3.7
2011,2650585,476,14,4.0
2009,1170819,476,17,4.1
2008,1234859,476,15,3.8
2007,1236715,476,17,3.9
2006,1396904,476,32,3.9
2016,152444257,477,11,3.7
2015,28904301,477,14,3.9
2012,1603147,477,12,3.5
2016,152894783,479,13,3.5
2013,14715835,479,11,3.9
2010,3775238,483,20,4.5
2009,1748346,483,28,4.2
2014,142768484,484,10,3.9
2009,2095666,484,67,4.1
2008,1199827,484,24,4.1
2014,144603530,485,15,4.3
2012,9179727,485,28,4.2
2008,3784111,487,17,4.1
2006,1246697,510,15,3.9
2004,1272341,510,92,3.9
2003,1452,510,54,4.2
2002,93180,510,15,3.8
2001,1760091,510,14,3.9
2018,156110804,531,234,3.9
2017,151316780,531,969,3.9
2016,115679337,531,1027,3.9
2015,14445563,531,1018,4.0
2014,5914722,531,764,4.0
2013,4355670,531,573,4.0
2012,4268082,531,370,4.1
2011,2975424,531,351,3.7
2010,2176024,531,278,3.8
2009,1504769,531,417,3.8
2008,1192745,531,163,3.9
2007,1161616,531,60,3.5
2006,856,531,55,4.0
2005,1432139,531,13,3.8
2004,1480365,531,16,4.0
1994,5345594,531,14,3.6
2017,160756818,532,18,3.6
2010,3263012,532,12,4.0
2009,1587074,532,12,4.0
2008,1553064,532,10,4.0
2010,3978300,533,30,3.9
2009,1385823,533,19,4.1
2016,153349921,534,22,4.2
2015,39231598,534,21,4.2
2014,69203670,534,14,4.5
2013,20148505,534,12,4.3
2011,4543571,534,26,4.0
2010,2356058,534,25,4.1
2009,1587076,534,11,3.9
2010,3741131,535,22,3.9
2009,2939028,535,13,4.0
2017,161654233,541,14,4.1
2016,156404580,541,20,4.1
2014,4652696,541,18,4.1
2011,29470989,541,17,4.5
2009,4577879,541,10,3.7
2018,160392759,543,15,4.1
2017,153031166,543,26,3.8
2016,146762651,543,34,4.0
2015,110778193,543,22,3.9
2014,11827582,543,21,3.6
2013,4173291,543,15,3.3
2012,1935522,543,16,4.2
2011,1530280,543,20,3.8
2010,1465939,543,15,3.8
2009,1465943,543,15,3.8
2007,1300022,543,28,3.9
2016,149547937,546,10,3.5
2016,152855403,548,15,3.6
2014,143186545,548,13,3.5
2013,23909584,548,14,3.8
2012,2189392,548,15,3.5
2017,155488815,550,76,4.2
2016,127228058,550,142,4.3
2015,59409588,550,136,4.3
2014,28743920,550,226,4.2
2013,4429282,550,270,4.0
2012,2189396,550,279,4.2
2011,2571488,550,155,4.2
2010,1534726,550,87,4.2
2009,2175654,550,21,4.2
2010,2243969,552,22,3.8
2013,154798000,564,11,4.2
2012,40992993,564,18,4.1
2010,2644975,564,19,4.2
2004,3160542,564,11,4.1
2017,150315963,565,13,3.9
2016,133669775,565,30,4.2
2014,19336877,565,39,3.9
2013,23371477,565,31,4.0
2012,21042819,565,41,4.1
2010,3875656,565,42,4.1
2009,2239194,565,24,4.2
2008,1685129,565,10,4.2
2007,2591872,565,11,4.4
