year,id,wine_id,vintage_ratings_count,vintage_ratings_average
2016,143584424,5921504,61,3.7
2015,155414709,5921504,133,3.7
2019,160196850,5921528,53,3.8
2018,156161505,5921528,519,3.8
2017,155441520,5921528,621,3.5
2016,155414883,5921528,414,3.8
2019,165960222,5921535,10,4.0
2018,161954648,5921535,62,3.9
2017,158145887,5921535,27,3.7
2017,159141689,5921540,18,3.4
2016,155943543,5921540,249,3.6
2015,155414940,5921540,93,3.7
2014,155590270,5921540,14,3.6
2015,156915711,5921541,40,3.7
2014,155414958,5921541,11,3.8
2017,158175350,5921551,20,4.2
2016,155414998,5921551,23,4.0
2018,160289130,5921576,17,3.5
2017,157730233,5921576,25,3.3
2016,155415140,5921576,21,3.6
2015,155415199,5921593,49,4.6
2018,159511720,5921603,26,2.9
2016,155474007,5921603,14,3.1
2016,156730578,5921640,70,4.3
2015,155468707,5921640,93,4.0
2016,156769097,5921659,21,4.0
2015,156509851,5921659,14,3.5
2016,156755956,5921673,18,4.3
2018,159510923,5922643,10,3.5
2017,156404752,5922643,30,3.5
2015,157971035,5922654,23,3.6
2013,155434100,5922654,22,4.1
2016,156578280,5922662,11,4.5
2015,155710513,5922662,17,4.5
2014,155434114,5922662,15,4.5
2017,156056386,5922676,34,4.1
2014,155439965,5922682,48,4.6
2017,155450576,5922699,35,4.0
2015,155434975,5922699,138,3.6
2017,158231004,5922705,12,3.7
2016,160905664,5922716,54,3.9
2015,156367716,5922716,21,4.0
2014,155441781,5922716,72,4.0
2017,157200850,5922728,36,3.5
2016,155881329,5922728,11,3.5
2015,155613243,5922728,19,3.1
2016,156271703,5922738,60,4.1
2018,156815538,5922742,29,3.5
2016,155578564,5922742,28,3.4
2015,155611976,5922742,19,3.6
2014,156585409,5922742,10,2.6
2013,155434335,5922742,67,3.2
2015,155423870,5922751,36,4.0
2018,157728230,5922760,151,3.5
2017,156748854,5922760,219,3.6
2016,155439504,5922760,130,3.9
2016,155434450,5922767,3080,3.3
2017,158231896,5922776,24,3.5
2016,155459584,5922776,18,3.8
2015,155484248,5922776,16,3.0
2014,155434506,5922776,79,3.6
2019,160872602,5922780,445,3.5
2018,157156510,5922780,661,3.4
2017,156938310,5922780,205,3.4
2016,155533152,5922780,103,3.6
2015,155434529,5922780,286,3.6
2014,156343363,5922780,10,3.6
2016,155434994,5922794,3129,3.3
2016,155434609,5922796,67,4.1
2018,160873453,5922812,17,3.9
2016,155474166,5922812,27,3.8
2016,159184715,5922829,10,4.3
2018,163487692,5922830,13,4.2
2017,163218752,5922830,59,4.3
2016,158012673,5922830,30,4.3
2016,155434843,5922847,236,3.7
2017,156457876,5922848,11,4.3
2014,155434865,5922853,48,3.8
2015,155437644,5922855,20,4.2
1999,155434952,5922873,23,3.5
2018,156534453,5922874,136,3.9
2017,155841708,5922874,248,3.8
2016,155434956,5922874,183,3.6
2015,155438031,5922890,150,3.3
2014,155438034,5922890,10,2.9
2017,156509287,5922897,16,3.8
2017,155754688,5922898,83,3.7
2016,155435104,5922898,67,3.6
2019,160826766,5922927,11,3.6
2018,156835971,5922927,170,4.2
2015,155514667,5922927,12,3.5
2019,164897538,5922943,50,4.2
2017,157054690,5922943,94,4.0
2016,158995363,5922943,32,3.6
2014,155435302,5922943,45,4.1
2019,160083132,5922966,13,3.6
2018,159049086,5922966,12,3.2
2016,155435501,5922966,42,3.8
2016,156138666,5922985,23,3.7
2015,155739094,5922985,86,4.1
2014,155435586,5922985,76,3.8
2013,155449495,5922985,23,3.7
2017,158395396,5923057,13,2.8
2016,155436033,5923057,167,3.3
2014,156256030,5923061,20,3.6
2015,155607315,5923079,12,4.1
2018,161784095,5923085,156,4.0
2015,155526505,5923085,190,3.8
2014,155436234,5923085,48,3.5
2013,156123284,5923085,22,3.3
2018,156869624,5923088,342,4.2
2017,156410928,5923088,157,4.2
2016,156256621,5923088,65,4.0
2015,155442023,5923088,192,3.9
2017,157068185,5923089,410,3.5
2016,155436263,5923089,213,3.6
2015,156713283,5923104,73,3.9
2014,155436309,5923104,202,4.0
2013,155445705,5923104,70,3.8
2015,155461907,5923115,21,2.7
2013,155436347,5923115,85,2.9
2018,156493722,5923117,21,4.4
2017,155436796,5923117,21,4.7
2016,155710520,5923117,17,4.3
2015,155442207,5923117,130,4.5
2014,155442983,5923117,169,4.5
2013,155436355,5923117,24,4.5
2017,158099292,5923119,73,3.8
2016,155436361,5923119,91,3.8
2019,163386513,5923122,69,3.7
2018,161330295,5923122,30,3.8
2017,156586186,5923122,18,4.0
2016,155445203,5923127,581,3.5
2015,155436406,5923127,250,3.5
2015,155442467,5923128,93,3.8
2016,155692894,5923153,19,3.8
2019,160130903,5923158,25,3.6
2018,157927861,5923158,318,3.7
2017,158451598,5923158,5002,3.7
2016,156224266,5923158,1457,3.7
2015,155621817,5923158,68,3.6
2015,155436933,5923234,10,4.1
2018,161394295,5923239,12,4.1
2017,158408721,5923239,53,4.1
2016,155978958,5923239,71,4.2
2015,155436954,5923239,89,4.2
2014,155491632,5923239,57,4.0
2013,155437591,5923239,40,4.2
2012,155473991,5923239,36,4.2
2011,155508676,5923239,20,4.2
2010,155883208,5923239,12,3.9
2009,155462221,5923239,11,4.0
2011,155742314,5923240,14,4.3
2010,155742313,5923240,13,4.2
2019,161385689,5923259,18,3.8
2018,160823415,5923259,43,3.4
2016,155439594,5923259,218,3.2
2015,155442674,5923259,33,3.7
2014,155494858,5923259,13,3.6
2018,161558833,5923262,24,3.8
2018,160256984,5923269,23,3.3
2016,155679591,5923269,30,3.3
2015,155438861,5923279,350,3.5
2018,160901061,5923282,26,3.4
2015,155912374,5923282,14,3.2
2020,167363879,5923289,11,4.0
2019,165190370,5923289,13,4.3
2017,155449796,5923289,94,4.0
2015,155444982,5923289,48,4.1
2011,155517289,5923289,12,4.0
2012,155536349,5923292,17,4.1
2008,155446065,5923292,10,4.2
2019,159878969,5923303,24,4.0
2018,157891228,5923303,165,3.5
2017,155754964,5923303,736,3.8
2016,155437191,5923303,765,3.8
2015,155437190,5923303,75,3.8
2014,155520548,5923303,21,4.0
1990,155485696,5923303,46,4.0
2019,164981005,5923337,37,3.9
2018,157624970,5923337,158,4.1
2017,157539529,5923337,36,4.1
2016,155437330,5923337,120,4.0
2015,155538643,5923337,82,4.2
2017,155437679,5923395,205,2.9
2019,164256877,5923399,13,3.1
2017,155437723,5923399,146,3.1
2019,159483365,5923414,137,3.3
2018,156441616,5923414,442,3.4
2017,156638363,5923414,1004,3.2
2016,155445470,5923414,224,3.4
2015,155460444,5923414,168,3.3
2014,155440972,5923414,80,3.6
2015,155437946,5923429,36,3.7
2017,156177237,5923435,305,3.5
2012,155489930,5923477,28,4.2
2015,157660421,5923526,33,3.7
2014,155438118,5923526,20,3.7
2000,155438115,5923526,68,4.0
2017,157276831,5923531,21,3.7
2016,155705571,5923531,14,4.0
2017,157352395,5923592,23,3.4
2016,155481900,5923592,25,3.0
2014,155449926,5923592,22,3.3
2014,155438614,5923639,91,4.1
2017,161790594,5923646,32,3.9
2016,158669817,5923646,44,3.8
2015,155463237,5923646,18,4.2
1996,155454204,5923652,260,4.5
2016,155849902,5923664,11,3.7
2017,157687014,5924278,151,3.4
2016,155441426,5924278,58,3.8
2017,155448252,5924424,106,3.4
2019,163626146,5924483,12,3.6
2018,159658953,5924483,12,3.5
2017,157289778,5924483,15,3.8
2017,155645165,5924507,92,4.0
2016,155442281,5924507,158,3.9
2017,165475918,5924541,12,3.9
2015,159027212,5924541,14,4.0
2014,155442428,5924541,20,4.0
2016,155689065,5924553,10,3.2
2016,155442513,5924562,43,3.7
2014,155450591,5924562,23,3.3
2018,156400772,5924597,426,3.4
2017,157878938,5924597,70,3.4
2016,155442641,5924597,194,3.3
2017,157444696,5924615,24,3.6
2018,162150172,5924625,71,3.8
2017,158656254,5924625,33,3.6
2016,156706451,5924625,36,3.5
2015,155475789,5924625,47,3.8
2014,155443057,5924625,42,3.5
2013,155519375,5924625,19,4.1
2011,155470035,5924625,13,4.4
2014,156633354,5924630,10,4.0
2010,155523861,5924630,206,4.0
2008,155472958,5924630,22,4.5
2017,157472143,5924636,12,4.1
2016,157881969,5924636,75,4.1
2015,155448067,5924636,140,3.9
2014,157852245,5924636,14,3.9
2013,155460311,5924636,12,3.8
2016,155442844,5924645,17,3.5
2017,158442972,5924668,31,3.5
2016,155472985,5924668,28,3.6
2018,157505218,5924671,27,3.8
2017,155921079,5924671,918,3.6
2016,155460177,5924671,487,3.6
2015,155448825,5924671,164,3.9
2016,160208620,5924706,18,4.2
2015,155443114,5924706,30,4.3
2014,155496121,5924708,15,4.6
2016,156173547,5924713,11,4.3
2015,155475574,5924713,41,4.3
2014,155443146,5924713,126,4.3
2016,155443158,5924715,14,3.8
2013,155520941,5924736,20,3.8
2018,160567515,5924742,25,4.0
2017,156092342,5924742,20,3.5
2016,155799921,5924742,12,3.5
2019,161293987,5924762,11,4.2
2018,161196435,5924762,27,4.1
2017,160443589,5924762,31,3.9
2015,155551112,5924762,69,4.2
2017,156848384,5924782,13,4.5
2016,155775232,5924782,18,4.3
2015,155727800,5924782,21,4.2
2014,155581434,5924782,17,4.2
2014,155477006,5924786,16,3.9
2013,155476294,5924786,10,4.3
2015,155500390,5924794,10,3.8
2019,162329091,5924800,56,4.1
2018,160231869,5924800,60,3.9
2017,155500798,5924800,38,4.0
2014,155460251,5924806,23,4.5
2019,163461892,5924830,10,3.9
2018,162196161,5924830,20,3.8
2016,156073673,5924830,11,3.7
2015,155443596,5924830,20,4.0
2010,156405266,5924830,10,3.8
2015,155443722,5924859,29,3.6
2015,156792608,5924860,44,3.7
2017,155602230,5924872,77,3.7
2016,155443884,5924890,13,3.8
2018,157539889,5924914,265,3.7
2017,158090601,5924914,175,3.7
2016,156228000,5924914,1447,3.8
2015,155443991,5924914,274,3.8
2014,155443990,5924914,12,3.6
2019,159907203,5924941,21,3.9
2016,158270212,5924941,421,3.9
2015,157195365,5924941,492,4.0
2014,155444109,5924941,13,4.2
2017,161663904,5924973,20,3.6
2016,155436745,5924973,10,3.7
2017,160399836,5924980,35,3.7
2016,155686750,5924980,37,3.5
2015,155468939,5924980,27,3.6
2019,161291180,5924994,13,4.0
2018,157596560,5924994,11,3.5
2017,155902054,5924994,60,3.7
2016,155450494,5924994,57,3.6
2015,144707252,5925001,22,3.6
2011,155444375,5925001,84,3.7
2019,163851961,5925006,13,3.5
2017,157338247,5925006,21,3.8
2018,163167452,5925035,17,4.2
2017,158472411,5925035,10,4.5
2016,156390768,5925035,52,3.9
2016,155480043,5925050,16,4.2
2018,161990532,5925062,72,3.7
2017,158585360,5925062,164,3.7
2016,155565436,5925062,92,3.7
2015,155449975,5925062,48,3.5
2014,155578073,5925062,10,3.7
2016,156360732,5925064,25,3.5
2017,158558631,5925071,29,3.8
2016,155606485,5925071,34,4.3
2014,155505231,5925084,23,4.1
2015,159857197,5925089,12,3.8
2007,156411682,5925093,15,4.0
2004,155524345,5925093,13,4.2
2018,156494096,5925122,151,3.7
2017,155630174,5925122,294,3.7
2016,155579940,5925122,57,3.8
2013,155445180,5925122,418,3.4
2012,155449230,5925122,68,3.6
2011,157581107,5925122,18,3.9
2016,155464599,5925155,114,3.7
2015,155468398,5925155,21,4.0
2018,157102652,5925196,27,3.4
2017,157298059,5925196,41,3.4
2015,155592818,5925196,25,3.3
2014,155446607,5925196,509,3.4
2019,163065315,5925216,186,3.6
2018,160045781,5925216,106,3.2
2017,156339194,5925216,37,3.1
2016,155533332,5925216,26,3.2
2017,158312131,5925255,13,4.7
2016,156513400,5925255,11,4.3
2018,157691349,5925308,24,4.0
2017,157691347,5925308,145,3.9
2016,155469069,5925308,55,3.9
2015,155884541,5925308,89,3.8
2014,155454053,5925308,64,4.1
2015,155855994,5925327,31,4.3
2014,155447195,5925327,34,4.3
2013,155556197,5925327,11,4.3
