year,id,wine_id,vintage_ratings_count,vintage_ratings_average
2018,156415803,83380,39,3.9
2017,150627719,83380,127,3.8
2016,143087796,83380,430,3.9
2015,19938852,83380,1179,3.9
2014,4574625,83380,989,3.7
2013,3512469,83380,1319,3.7
2012,2286849,83380,1501,3.8
2011,1487864,83380,1586,3.9
2010,1672659,83380,1842,3.9
2009,1220234,83380,1216,3.9
2008,1263011,83380,848,3.8
2007,100637,83380,608,3.9
2006,104162,83380,444,3.9
2005,101645,83380,848,3.9
2004,1161661,83380,253,3.9
2003,1188298,83380,184,3.9
2002,1610474,83380,157,3.9
2001,1301491,83380,156,4.1
2000,104163,83380,350,4.1
1999,1409525,83380,196,4.1
1998,1327007,83380,123,4.0
1997,1279231,83380,70,4.2
1996,1435853,83380,160,4.0
1995,1262154,83380,155,4.1
1994,2163520,83380,51,3.9
1993,2075876,83380,36,4.1
1992,2867093,83380,16,4.0
1990,1304041,83380,64,4.0
1989,3936373,83380,41,4.2
1988,1360556,83380,35,4.0
1987,6928317,83380,12,3.8
1986,1323401,83380,15,3.8
1985,15339727,83380,12,3.9
2019,160204974,83405,373,3.8
2018,156631588,83405,407,3.9
2017,150277107,83405,755,3.9
2016,106382236,83405,456,3.9
2015,19218875,83405,689,3.9
2014,9251127,83405,164,3.9
2013,5129113,83405,151,3.8
2012,2409503,83405,49,3.6
2011,1777829,83405,90,4.0
2010,1853843,83405,24,4.0
2009,3496966,83405,10,3.6
2001,3282582,83405,12,4.0
2000,4703241,83405,13,3.8
2019,160103120,83406,10,4.0
2016,143258995,83406,67,3.9
2015,15102583,83406,56,3.7
2014,9504992,83406,45,4.2
2013,7345603,83406,35,4.2
2012,3027517,83406,73,4.1
2011,2383657,83406,11,4.2
2019,160041333,83412,373,3.9
2018,156155515,83412,383,3.8
2017,150382507,83412,851,3.9
2016,143395222,83412,904,3.8
2015,16743141,83412,475,3.8
2014,20614706,83412,207,3.7
2013,2096623,83412,147,3.7
2011,1869355,83412,108,3.9
2010,15133847,83412,29,4.0
2008,2292216,83412,13,3.5
2000,3720784,83412,12,3.5
