year,id,wine_id,vintage_ratings_count,vintage_ratings_average
2013,3720085,1866000,10,3.5
2017,150936946,1866007,363,2.9
2015,17139845,1866007,274,3.0
2014,5041625,1866007,12,3.0
2011,9916001,1866007,50,2.6
2019,161495352,1866012,52,3.5
2018,157709484,1866012,61,3.8
2017,151963022,1866012,52,3.6
2016,149611317,1866012,103,3.7
2015,28924086,1866012,42,3.5
2013,8391925,1866012,13,3.2
2016,147131599,1866014,11,4.0
2015,150075172,1866014,24,4.2
2014,20098552,1866014,34,3.1
2013,10136293,1866014,35,3.6
2012,3236933,1866014,13,3.5
2011,3166171,1866014,17,4.3
2015,20587002,1866024,10,4.4
2014,20586986,1866024,38,4.0
2018,160460240,1866060,16,3.7
2017,157904149,1866060,29,3.7
2014,21376270,1866060,33,3.8
2013,13355575,1866060,57,3.9
2012,5338499,1866060,44,3.8
2011,4653795,1866060,38,3.5
2010,12071306,1866060,19,3.4
2009,14395705,1866060,12,3.8
2016,152517767,1866064,10,2.9
2013,141732297,1866064,32,3.7
2012,26563072,1866064,15,3.5
2011,8249243,1866064,24,3.4
2009,3166396,1866064,38,3.2
2008,3413218,1866064,12,2.9
2017,156801929,1866083,12,3.9
2016,154761630,1866083,36,3.8
2015,144297969,1866083,29,3.5
2014,25223887,1866083,183,3.6
2013,27053814,1866083,13,3.5
2017,157502641,1866089,26,4.0
2016,150717624,1866089,200,4.1
2015,146506822,1866089,97,3.6
2014,31354217,1866089,128,3.8
2013,31895226,1866089,47,3.6
2012,8218890,1866089,113,3.8
2011,3166489,1866089,27,4.1
2018,159111890,1866102,66,3.5
2017,153318160,1866102,21,3.0
2016,151942598,1866102,26,2.7
2015,144068595,1866102,36,3.3
2014,27712741,1866102,10,3.0
2013,15501158,1866102,11,3.9
2005,3166578,1866118,16,4.2
2016,152316999,1866154,12,3.5
2015,76551177,1866200,15,3.6
2011,64014354,1866200,23,3.5
2008,3965243,1866200,20,3.8
2007,3965247,1866200,21,3.3
2011,4312739,1866225,10,2.7
2017,152274553,1866227,51,3.0
2016,141485829,1866227,56,3.2
2015,38152235,1866227,90,3.2
2014,7070320,1866227,80,3.2
2013,12391085,1866227,89,3.3
2012,5640379,1866227,83,3.3
2011,4377253,1866227,231,3.2
2010,3166928,1866227,49,3.1
2009,5221680,1866227,73,3.9
2008,4160213,1866227,34,3.0
2018,163190104,1866230,32,3.9
2017,157638134,1866230,59,3.6
2016,157149096,1866230,23,3.5
2014,139447766,1866230,19,3.4
2013,16657555,1866230,12,3.8
2013,52708126,1866250,21,3.8
2012,4438025,1866250,17,4.3
2011,3574638,1866250,18,4.2
2010,3166981,1866250,16,4.3
2020,163457569,1866265,145,3.5
2019,162008977,1866265,375,3.4
2018,158343431,1866265,302,3.4
2017,152096820,1866265,172,3.4
2016,143925141,1866265,119,3.3
2019,164400926,1866301,13,3.8
2018,160034655,1866301,21,3.5
2016,152899707,1866301,60,3.9
2015,28439694,1866301,37,3.6
2013,7487286,1866301,22,3.6
2013,39039884,1866320,16,4.3
2011,3264279,1866320,10,4.0
2019,161814879,1866329,19,3.7
2018,161814876,1866329,44,3.9
2017,156211169,1866329,66,3.6
2015,149081064,1866329,88,3.8
2014,144119662,1866329,37,3.3
2015,143230941,1866343,14,4.0
2014,23154180,1866343,15,3.6
2012,3167345,1866343,45,3.6
2010,3934640,1866349,10,4.3
2013,147757929,1866350,28,4.5
2012,13836222,1866350,14,4.4
2011,4523812,1866350,33,4.3
2010,3251962,1866350,21,4.2
2009,3167373,1866350,22,4.2
2015,18515034,1866352,16,3.2
2012,13125344,1866352,53,3.0
2011,3167381,1866352,82,3.3
2016,147033678,1866355,53,3.9
2015,145984381,1866355,31,4.1
2014,18521952,1866355,20,4.0
2013,6229939,1866355,20,4.1
2011,3167392,1866355,31,3.9
2009,3522742,1866355,11,4.4
2016,159069724,1866357,11,4.2
2013,134053046,1866357,12,4.4
2011,3167396,1866357,16,3.9
2018,158905017,1866365,64,4.2
2017,152648032,1866365,117,4.0
2016,147525134,1866365,107,4.0
2015,146721692,1866365,118,4.1
2014,67546690,1866365,136,3.8
2013,13208754,1866365,88,3.8
2012,4858158,1866365,89,3.9
2011,3296840,1866365,94,3.9
2010,3192710,1866365,95,3.8
2009,3247499,1866365,48,3.9
2008,3177548,1866365,81,4.0
2007,3327884,1866365,16,3.9
2006,3341923,1866365,18,3.6
2018,160036510,1866374,12,4.0
2017,157680194,1866384,14,4.5
2016,146055583,1866384,13,4.1
2015,52595508,1866384,20,4.4
2014,103451833,1866384,60,4.2
2013,19046284,1866384,55,4.3
2012,3642235,1866384,26,4.1
2011,3343535,1866384,51,4.5
2010,4073702,1866384,17,4.4
2009,3343567,1866384,26,4.3
2008,3281831,1866384,19,4.3
2007,3587273,1866384,10,4.3
2006,3167487,1866384,16,4.0
2019,161475804,1866388,15,3.8
2018,158010446,1866388,34,3.6
2017,154496819,1866388,22,4.0
2016,146760172,1866388,11,3.4
2015,57482701,1866388,16,3.7
2010,3182442,1866388,20,3.5
2011,4533354,1866410,12,3.6
2019,164004418,1866447,21,3.3
2017,159645712,1866447,30,3.6
2016,143974698,1866447,106,3.4
2015,21340287,1866447,55,3.5
2014,21340309,1866447,52,3.3
2013,10145212,1866447,103,3.4
2012,4421932,1866447,60,3.4
2011,3167715,1866447,46,3.3
2010,3184821,1866447,35,3.2
2009,3176703,1866447,27,3.4
2018,156472192,1866456,18,4.2
2017,154174403,1866456,34,3.7
2016,144183185,1866456,244,4.0
2015,141986528,1866456,36,4.3
2014,21670689,1866456,82,3.8
2013,106139110,1866456,58,4.0
2012,4507199,1866456,18,3.9
2019,160561241,1866458,17,3.8
2017,158436356,1866458,22,3.8
2016,143580962,1866458,17,3.6
2011,3167831,1866475,17,3.6
2017,151776377,1866476,45,3.1
2016,142957989,1866476,26,3.6
2015,141235063,1866476,17,3.2
2014,11493363,1866476,113,3.2
2012,15222344,1866476,35,3.4
2011,3167921,1866503,19,3.4
2018,157622823,1866508,19,4.1
2017,158139619,1866508,34,3.7
2016,149067810,1866508,27,3.5
2015,29525788,1866508,35,3.6
2014,17624532,1866508,35,3.5
2013,6748268,1866508,16,3.9
2012,3709790,1866508,23,3.7
2013,16799589,1866516,79,3.8
2012,3451866,1866516,165,3.5
2011,3167951,1866516,167,3.8
2010,3228956,1866516,51,3.6
2009,3987455,1866516,29,3.7
2018,159939079,1866523,54,3.4
2018,159629317,1866531,40,3.5
2018,160503231,1866533,23,3.5
2017,154375760,1866533,75,3.6
2015,20635303,1866533,69,3.5
2014,21633106,1866533,101,3.2
2013,5353320,1866533,206,3.5
2012,3187925,1866533,37,3.3
2018,160082173,1866535,16,3.5
2016,156656937,1866554,15,4.0
2014,28818127,1866554,12,4.0
2013,69545402,1866554,21,4.0
2011,4393630,1866561,15,4.4
2007,4144083,1866561,11,3.4
2015,150617534,1866562,13,3.7
2014,19734604,1866562,47,4.0
2013,8552539,1866562,25,4.0
2012,3168075,1866576,54,3.9
2012,147574159,1866586,11,4.0
2011,39303712,1866586,15,3.6
2010,3168096,1866586,25,4.1
2017,150311689,1866595,77,3.5
2016,141486070,1866595,110,3.8
2015,16532314,1866595,111,3.5
2014,12059756,1866595,40,3.4
2013,4678519,1866595,18,3.6
2012,3301942,1866595,13,3.3
2010,3179436,1866595,11,3.7
2019,161475279,1866597,10,3.5
2018,161328919,1866597,25,3.5
2017,155358014,1866597,99,3.8
2016,144222367,1866597,12,3.7
2018,161273158,1866600,12,3.5
2016,153227140,1866600,25,3.1
2014,29492125,1866600,23,3.2
2013,8439114,1866600,27,3.0
2017,152012136,1866607,13,3.6
2014,67166859,1866607,33,3.4
2020,164063088,1866649,33,3.6
2018,158395512,1866649,41,3.5
2017,155225748,1866649,173,3.4
2016,144377132,1866649,227,3.5
2015,14956500,1866649,209,3.4
2014,11273133,1866649,83,3.0
2013,4652113,1866649,62,3.3
2012,3168214,1866649,46,3.4
2011,3566699,1866649,30,3.5
2016,97948642,1866652,16,4.1
2015,152515602,1866652,15,3.7
2012,12469219,1866652,10,4.0
2010,4619308,1866681,46,3.7
2009,3168272,1866681,37,3.1
2008,3765244,1866681,11,2.8
2007,3273478,1866681,13,3.7
2020,163196135,1866692,38,3.3
2019,161894451,1866692,39,3.0
2018,159893038,1866692,29,3.5
2017,155923392,1866692,96,3.1
2016,151418174,1866692,17,3.5
2015,146558147,1866692,15,3.4
2009,3735540,1866707,61,2.7
2018,157537562,1866713,98,3.7
2017,158015522,1866713,41,3.7
2016,153433247,1866713,212,4.0
2015,145833031,1866713,68,3.8
2014,107222555,1866713,30,4.2
2012,3168325,1866713,13,4.0
2012,15976255,1866724,11,3.7
2011,4097651,1866724,11,3.9
2009,4091638,1866724,10,3.9
2014,12039048,1866729,28,4.4
2013,17567072,1866729,68,4.4
2012,10884442,1866729,107,4.4
2011,3596488,1866729,135,4.3
2010,3168349,1866729,66,4.3
2009,3174124,1866729,94,4.3
2008,4025919,1866729,28,4.4
2007,3528957,1866729,26,4.4
2006,4019723,1866729,17,4.2
2005,3862807,1866729,13,4.6
2017,159126837,1866732,32,3.8
2016,147470890,1866732,55,3.6
2015,150207157,1866732,43,3.5
2014,65348646,1866732,18,3.8
2013,50113277,1866732,27,3.6
2012,6336680,1866732,37,3.6
2011,3168356,1866732,20,3.6
2010,4497289,1866732,10,4.3
2009,8970122,1866732,13,3.8
2008,3284345,1866732,10,3.6
2013,6616012,1866739,15,3.5
2012,3168364,1866739,13,2.9
2016,157112213,1866743,29,4.1
2015,149373228,1866743,25,4.5
2014,9295055,1866743,23,4.1
2013,32058808,1866743,15,4.2
2011,34943834,1866744,14,3.4
2015,152287840,1866755,28,4.0
2013,28361647,1866755,20,4.0
2012,10875531,1866755,15,3.7
2018,158306190,1866760,10,4.1
2017,156037695,1866760,29,4.1
2016,144592625,1866760,39,4.4
2015,23677180,1866760,25,4.0
2014,4832252,1866760,11,4.4
2013,8690213,1866760,18,4.2
2015,31745930,1866792,35,3.9
2014,9633763,1866792,18,3.7
2013,23382543,1866792,23,3.7
2013,18560145,1866801,11,3.6
2012,21928213,1866801,15,3.6
2010,3256627,1866801,21,3.7
2008,15965818,1866801,10,4.0
2019,161683186,1866815,18,3.6
