id,full_name,name,type_id,type,wine_region,winery,winery_region,country,ratings_count,ratings_average,alcohol,acidity,fizziness,intensity,sweetness,tannin,url
1166290,Pietraserena Bianco,Bianco,2,White Wine,Chianti,Pietraserena,Chianti,Italy,23,2.9,0.0,4.0,,3.0,2.0,,https://www.vivino.com/GB/en/pietraserena-toscana-bianco/w/1166290
1166293,Castello di Tagliolo Bianco del Castello,Bianco del Castello,2,White Wine,Monferrato,Castello di Tagliolo,Monferrato,Italy,48,3.7,14.0,3.2807016,,3.8421052,2.0336843,,https://www.vivino.com/GB/en/castello-di-tagliolo-bianco-del-castello-monferrato/w/1166293
1166294,Gérard Bertrand Minervois La Livinière Le Viala,Minervois La Livinière Le Viala,1,Red Wine,Minervois La Livinière,Gérard Bertrand,Languedoc-Roussillon,France,932,4.3,0.0,3.821036,,4.117274,1.741287,3.5973177,https://www.vivino.com/GB/en/gerard-bertrand-minervois-la-liviniere-le-viala/w/1166294
1166295,Castello di Tagliolo Cortese dell'Alto Monferrato,Cortese dell'Alto Monferrato,2,White Wine,Monferrato,Castello di Tagliolo,Monferrato,Italy,43,3.4,12.5,3.4795918,,4.0,2.0,,https://www.vivino.com/GB/en/castello-di-tagliolo-cortese-dell-alto-monferrato/w/1166295
1166299,Fontezoppa Marinè Marche Rosso,Marinè Marche Rosso,1,Red Wine,Marche,Fontezoppa,Marche,Italy,89,3.6,0.0,2.7580645,,3.048387,1.7258065,2.782258,https://www.vivino.com/GB/en/fontezoppa-marine-marche-rosso/w/1166299
1166307,Conde de San Cristobal Ribera del Duero,Ribera del Duero,1,Red Wine,Ribera del Duero,Conde de San Cristobal,Castilla y León,Spain,9549,3.8,0.0,3.485003,,3.8627608,1.746264,3.3372986,https://www.vivino.com/GB/en/conde-de-san-cristobal-ribera-del-duero/w/1166307
1166313,Fratelli Serio & Battista Borgogno Barbaresco Riserva,Barbaresco Riserva,1,Red Wine,Barbaresco,Fratelli Serio & Battista Borgogno,Barolo,Italy,46,4.0,13.5,5.0,,3.409091,1.7878788,3.810606,https://www.vivino.com/GB/en/fratelli-serio-and-battista-borgogno-barbaresco-riserva/w/1166313
1166315,Bodegas San Huberto Nina Blend,Nina Blend,1,Red Wine,La Rioja,Bodegas San Huberto,La Rioja,Argentina,836,3.4,13.8,3.790254,,4.11442,1.6130435,3.6427171,https://www.vivino.com/GB/en/san-huberto-nina-blend/w/1166315
1166319,Marchandise Côtes de Provence Rosé,Côtes de Provence Rosé,4,Rosé Wine,Côtes de Provence,Marchandise,Côtes de Provence,France,1335,3.9,0.0,3.8630857,,2.4857304,1.5945244,,https://www.vivino.com/GB/en/marchandise-cotes-de-provence-rose/w/1166319
1166327,Curto Marco La Foia Barolo,La Foia Barolo,1,Red Wine,Barolo,Curto Marco,Piemonte,Italy,817,4.1,14.5,4.667221,,3.8836422,1.4628553,4.3003173,https://www.vivino.com/GB/en/curto-marco-la-foia-barolo/w/1166327
1166330,Reverdito Barolo Bricco Cogni,Barolo Bricco Cogni,1,Red Wine,Barolo,Reverdito,Barolo,Italy,429,4.1,0.0,4.3856463,,3.6401405,1.7547191,4.5767417,https://www.vivino.com/GB/en/reverdito-barolo-bricco-cogni/w/1166330
1166336,Piccini Villa al Cortile Rosso di Montalcino,Villa al Cortile Rosso di Montalcino,1,Red Wine,Rosso di Montalcino,Piccini,Toscana,Italy,2054,3.6,13.0,3.1118214,,3.1916444,1.5812473,3.237605,https://www.vivino.com/GB/en/piccini-villa-al-cortile-rosso-di-montalcino/w/1166336
