id,full_name,name,type_id,type,wine_region,winery,winery_region,country,ratings_count,ratings_average,alcohol,acidity,fizziness,intensity,sweetness,tannin,url
1740733,Stéphane Derenoncourt Collection Derenoncourt Bordeaux Rouge,Collection Derenoncourt Bordeaux Rouge,1,Red Wine,Bordeaux,Stéphane Derenoncourt,Bordeaux,France,11,3.4,0.0,3.5,,4.0,1.1666666,3.75,https://www.vivino.com/GB/en/stephane-derenoncourt-collection-bordeaux/w/1740733
1740766,Maetierra Dominum Gavanzita,Gavanzita,1,Red Wine,Rioja,Maetierra Dominum,Rioja,Spain,13,3.7,0.0,4.012,,4.05,1.0,4.5,https://www.vivino.com/GB/en/quatro-pagos-gavanzita/w/1740766
1740772,Jaume Serra Cava Cabré & Sabaté Brut,Cava Cabré & Sabaté Brut,3,Sparkling,Cava,Jaume Serra,Catalunya,Spain,3820,3.3,0.0,3.5354662,3.8175187,2.8814168,,,https://www.vivino.com/GB/en/jaume-serra-cava-cabre-sabate-brut/w/1740772
1740781,Depperu Dignu Isola dei Nuraghi,Dignu Isola dei Nuraghi,2,White Wine,Isola dei Nuraghi,Depperu,Sardegna,Italy,92,3.9,0.0,4.808696,,3.895652,1.6260871,4.669565,https://www.vivino.com/GB/en/deppuru-dignu-isola-dei-nuraghi/w/1740781
1740800,La Palèrna Cospaia 1441,Cospaia 1441,1,Red Wine,Umbria,La Palèrna,Umbria,Italy,186,3.7,15.0,3.2487395,,3.1855464,1.0,2.559496,https://www.vivino.com/GB/en/la-palerna-cospaia-1441/w/1740800
1740803,Duca di Salaparuta Insolia - Chardonnay Calanica,Insolia - Chardonnay Calanica,2,White Wine,Terre Siciliane,Duca di Salaparuta,Terre Siciliane,Italy,855,3.5,11.5,2.4274788,,3.8601909,1.2928602,,https://www.vivino.com/GB/en/duca-di-salaparuta-insolia-chardonnay-calanica/w/1740803
1740804,Clemens Waldthaler Lagrein Riserva,Lagrein Riserva,1,Red Wine,Südtirol - Alto Adige,Clemens Waldthaler,Südtirol - Alto Adige,Italy,154,4.0,0.0,2.3124323,,4.0130115,1.508108,2.8016603,https://www.vivino.com/GB/en/clemens-waldthaler-lagrein-riserva/w/1740804
1740805,3 Stones Sauvignon Blanc,Sauvignon Blanc,2,White Wine,Marlborough,3 Stones,Marlborough,New Zealand,713,3.8,12.5,4.4471464,,2.6460555,1.2406265,,https://www.vivino.com/GB/en/three-stones-sauvignon-blanc/w/1740805
1740822,Cantina Mori Colli Zugna Terra di San Mauro Trentino Lagrein,Terra di San Mauro Trentino Lagrein,1,Red Wine,Trentino,Cantina Mori Colli Zugna,Trentino-Alto Adige,Italy,212,3.6,0.0,2.1920834,,3.7310715,1.5151784,3.046488,https://www.vivino.com/GB/en/cantina-mori-colli-zugna-terra-di-san-mauro-trentino-lagrein/w/1740822
1740826,Harakeke Farm Pinot Noir Nelson,Farm Pinot Noir Nelson,1,Red Wine,Nelson,Harakeke,Nelson,New Zealand,36,3.7,0.0,4.0557303,,2.425281,1.0179775,2.5812356,https://www.vivino.com/GB/en/harakeke-farm-pinot-noir-nelson/w/1740826
1740867,Cecilia Elba Vermentino,Elba Vermentino,2,White Wine,Elba,Cecilia,Toscana,Italy,274,3.5,0.0,4.009412,,2.8395722,2.1550267,,https://www.vivino.com/GB/en/cecilia-38936-elba-vermentino/w/1740867
1740912,Dutton Cohen Vineyard  Ranch Sauvignon Blanc,Cohen Vineyard  Ranch Sauvignon Blanc,2,White Wine,Russian River Valley,Dutton,Russian River Valley,United States,31,3.9,15.1,3.7680206,,3.1878126,1.8339583,,https://www.vivino.com/GB/en/dutton-cohen-vineyard-ranch-sauvignon-blanc/w/1740912
1740935,Jules Lacroix Domaine Bois de Fée Saint-Véran,Domaine Bois de Fée Saint-Véran,2,White Wine,Saint-Véran,Jules Lacroix,Mâconnais,France,68,3.7,0.0,2.5,,3.0,1.7096775,,https://www.vivino.com/GB/en/jules-lacroix-domaine-bois-de-fee-saint-veran/w/1740935
1740937,Weingut Sonnenhof Riesling S,Riesling S,2,White Wine,Württemberg,Weingut Sonnenhof,Württemberg,Germany,72,3.8,0.0,4.273984,,3.1160975,1.9395121,,https://www.vivino.com/GB/en/sonnenhof-wurttemberg-riesling-s/w/1740937
