year,id,wine_id,vintage_ratings_count,vintage_ratings_average
2014,16080684,2850075,10,3.8
2013,12705081,2850075,11,3.2
2012,12613502,2850075,33,3.9
2016,149040610,2850212,28,2.9
2013,12344423,2850212,16,2.9
2013,11973137,2850213,52,3.2
2014,125538544,2850240,14,3.8
2013,73142503,2850244,25,3.2
2019,160164885,2850258,15,3.8
2018,160177360,2850258,55,3.5
2017,156613699,2850258,73,3.2
2016,143102869,2850258,37,3.1
2015,143102875,2850258,162,3.7
2014,21344501,2850258,50,3.5
2013,21024356,2850258,39,3.3
2012,15982951,2850258,33,3.5
2011,12292108,2850258,20,3.9
2010,14227332,2850258,13,3.9
2015,141382694,2850262,17,3.7
2015,26602998,2850284,128,3.7
2011,15253860,2850284,68,3.8
2018,156978960,2850287,54,4.1
2017,154624612,2850287,62,3.7
2016,145266567,2850287,59,4.0
2015,146898686,2850287,81,3.8
2014,27692892,2850287,70,3.8
2013,18624517,2850287,58,4.0
2012,11854691,2850287,29,3.6
2016,153183296,2850327,10,4.3
2016,150063570,2850334,19,4.3
2015,150577827,2850334,18,4.4
2019,161554870,2850340,58,4.1
2018,157923428,2850340,134,3.9
2017,153323182,2850340,118,3.7
2016,106579022,2850340,137,3.7
2015,27370828,2850340,148,3.6
2014,11856561,2850340,45,3.7
2013,11856563,2850340,63,3.5
2013,12380662,2850379,22,3.8
2012,12208809,2850379,19,3.6
2018,156786974,2850387,333,4.0
2017,155488637,2850387,182,4.2
2016,155488638,2850387,195,4.0
2015,146561037,2850387,214,3.9
2014,144419760,2850387,129,4.1
2013,14011934,2850387,136,4.0
2012,40642207,2850387,30,4.2
2018,161100850,2850390,42,3.8
2017,157442168,2850390,135,3.8
2014,144939292,2850390,248,3.9
2010,11855487,2850390,12,4.2
2019,161194089,2850403,84,3.4
2017,155281811,2850403,22,4.0
2016,151746789,2850403,22,3.7
2015,145209655,2850403,25,3.2
2014,26432834,2850403,22,3.5
2013,11855593,2850403,27,3.4
2004,11855686,2850422,15,3.7
2019,161086969,2850424,10,4.4
2018,156304553,2850424,18,4.1
2017,154253729,2850424,16,4.2
2016,148716300,2850424,54,4.5
2015,40766482,2850424,53,4.5
2014,14658338,2850424,103,4.2
2013,12463430,2850424,31,4.3
2012,14224222,2850424,112,4.4
2011,26477939,2850424,48,4.3
2010,17851763,2850424,102,4.3
2009,144492569,2850424,74,4.2
2008,27600883,2850424,53,4.5
2007,14530923,2850424,44,4.3
2013,11856159,2850461,49,3.4
2011,12124533,2850476,35,3.5
2007,12080472,2850476,11,4.0
2004,15854150,2850476,17,3.8
2017,155536325,2850489,17,4.2
2016,145170332,2850489,25,3.9
2015,21041182,2850489,25,3.6
2014,17695369,2850489,86,4.0
2013,12320317,2850489,94,4.2
2012,12348958,2850489,70,4.3
2011,11856509,2850489,32,3.9
2010,18797875,2850489,68,4.2
2009,39946755,2850489,17,4.0
2008,3450990,2850489,15,4.0
2020,166461854,2850494,39,3.4
2019,162270811,2850494,46,3.4
2018,158782705,2850494,14,3.5
2017,155508116,2850494,28,3.0
2016,148625541,2850494,32,3.1
2015,59947727,2850494,22,3.1
2015,23074330,2850568,20,4.4
2014,13231904,2850568,32,3.9
2013,12281722,2850568,86,3.7
2012,12032204,2850568,83,3.8
2011,15213761,2850568,20,4.0
2010,12149624,2850568,18,4.3
2016,151030307,2850607,27,3.6
2014,59185121,2850607,49,3.8
2012,25331897,2850607,20,3.5
2011,25239182,2850607,14,3.7
2012,18265020,2850622,35,3.6
2017,156501563,2850623,25,3.6
2016,144270389,2850623,18,3.5
2015,144270395,2850623,25,3.9
2014,59182937,2850623,95,3.8
2013,25498279,2850623,29,3.7
2012,22494273,2850623,24,3.7
