year,id,wine_id,vintage_ratings_count,vintage_ratings_average
2020,162873318,1740772,139,3.3
2019,159343997,1740772,10,3.3
2018,156134663,1740772,26,2.9
2017,152498272,1740772,18,3.4
2016,88865066,1740772,154,3.3
2015,18401950,1740772,74,3.4
2014,13737207,1740772,12,3.6
2013,2791684,1740772,44,3.3
2011,3720098,1740772,264,3.2
2010,4549064,1740772,10,3.0
2008,2827261,1740772,348,3.4
2019,165121252,1740781,16,4.0
2017,157734247,1740781,10,3.6
2015,144435297,1740781,41,3.8
2014,144707103,1740781,10,3.9
2016,142721357,1740800,17,3.7
2015,153076743,1740800,34,3.7
2014,9669364,1740800,18,3.8
2013,9669367,1740800,30,3.5
2012,9669368,1740800,32,3.5
2010,5391814,1740800,30,3.8
2018,158472658,1740803,92,3.6
2017,152173731,1740803,134,3.7
2016,145442751,1740803,165,3.5
2015,19242559,1740803,87,3.4
2014,8645890,1740803,121,3.4
2013,7282034,1740803,77,3.3
2012,2861655,1740803,53,3.5
2011,3287672,1740803,54,3.5
2010,2784712,1740803,25,3.4
2015,152350785,1740804,21,4.1
2014,10929939,1740804,25,4.0
2013,13932183,1740804,26,4.2
2012,32276998,1740804,27,3.8
2019,162115283,1740805,26,4.0
2018,156727980,1740805,75,3.9
2017,154662933,1740805,54,3.7
2016,145696320,1740805,137,3.9
2015,30058643,1740805,176,3.8
2014,12803560,1740805,60,3.6
2013,4311458,1740805,67,4.1
2012,2784716,1740805,19,3.6
2011,3218540,1740805,16,4.0
2016,148415489,1740822,19,3.4
2015,113711114,1740822,58,3.6
2014,83138475,1740822,22,3.5
2013,19134583,1740822,35,3.5
2011,3478578,1740826,10,3.4
2019,164000134,1740867,31,3.5
2018,160392597,1740867,42,3.6
2017,153000679,1740867,33,3.9
2016,144727173,1740867,22,3.7
2015,143568398,1740867,39,3.4
2014,23502931,1740867,24,3.2
2013,4566270,1740867,19,3.2
2017,157291376,1740912,12,4.2
2011,2833130,1740935,56,3.6
2017,157911682,1740937,10,3.5
2013,21257308,1740937,10,4.1
2012,3100211,1740937,12,3.6
2017,156581116,1740955,10,3.8
2015,130999712,1740955,15,3.9
2014,23003534,1740955,13,3.8
2013,7903588,1740955,17,3.5
2019,164496125,1740959,37,3.8
2018,160987104,1740959,104,3.8
2017,156748254,1740959,132,3.6
2016,108747085,1740959,204,3.7
2015,143807584,1740959,82,3.7
2014,26639992,1740959,113,3.8
2013,5448476,1740959,111,3.9
2012,3340900,1740959,61,3.5
2011,2785355,1740959,24,3.8
2010,2785377,1740965,13,3.8
2007,2949578,1740965,10,4.2
2019,160883673,1740990,229,4.1
2018,159022298,1740990,577,4.0
2017,151138608,1740990,333,4.0
2016,102584503,1740990,192,3.9
2015,14566645,1740990,84,3.8
2014,12392053,1740990,74,3.6
2013,5052987,1740990,48,3.5
2012,2785506,1740990,32,3.5
2011,2971322,1740990,14,3.6
2010,2785508,1740991,20,3.5
2016,159023710,1740995,20,4.0
2015,154209105,1740995,19,4.2
2013,18552938,1740995,25,4.1
2012,14510622,1740995,37,4.1
2010,2785514,1740995,10,4.2
2019,160135765,1741047,48,3.5
2018,157772448,1741047,65,3.2
2017,151054154,1741047,18,3.4
2016,112377847,1741047,104,3.3
2015,28539411,1741047,63,3.2
2014,18116829,1741047,72,3.2
2013,9498671,1741047,63,3.3
2012,3177284,1741047,55,3.5
2011,2785722,1741047,467,3.8
2018,156812780,1741057,15,4.3
2017,157696698,1741057,10,4.0
2016,154241318,1741057,26,3.9
