id,full_name,name,type_id,type,wine_region,winery,winery_region,country,ratings_count,ratings_average,alcohol,acidity,fizziness,intensity,sweetness,tannin,url
3630101,La Tour de Gâtigne Cabernet Sauvignon,Cabernet Sauvignon,1,Red Wine,Cevennes,La Tour de Gâtigne,Cevennes,France,88,4.0,13.5,4.241573,,4.077528,1.3735955,3.615281,https://www.vivino.com/GB/en/la-tour-de-gatigne-cabernet-sauvignon/w/3630101
3630115,Sasso Brunello di Montalcino,Brunello di Montalcino,1,Red Wine,Brunello di Montalcino,Sasso,Veneto,Italy,20,4.0,0.0,4.0108333,,3.0,1.0,3.8858335,https://www.vivino.com/GB/en/it-sasso-brunello-di-montalcino/w/3630115
3630118,Wm Morrison Gran Montaña Malbec,Gran Montaña Malbec,1,Red Wine,Mendoza,Wm Morrison,Southern Rhône,France,585,3.8,13.5,2.626953,,3.8682835,1.8832189,2.0153434,https://www.vivino.com/GB/en/wm-morrison-gran-montana-malbec/w/3630118
3630192,Boccantino Rosso Sicilia Riserva,Rosso Sicilia Riserva,1,Red Wine,Terre Siciliane,Boccantino,Abruzzo,Italy,292,3.2,0.0,2.2294767,,4.7431397,2.2263374,2.7712212,https://www.vivino.com/GB/en/boccantino-rosso-sicilia-riserva/w/3630192
3630309,Croix de Pomerus Lalande-de-Pomerol,Lalande-de-Pomerol,1,Red Wine,Lalande-de-Pomerol,Croix de Pomerus,Lalande-de-Pomerol,France,132,3.6,0.0,3.4485717,,4.4542856,1.5738776,3.9661224,https://www.vivino.com/GB/en/croix-de-pomerus-lalande-de-pomerol/w/3630309
3630332,Domaine de Cambis Kalliope Saint-Chinian,Kalliope Saint-Chinian,2,White Wine,Saint-Chinian,Domaine de Cambis,Languedoc-Roussillon,France,48,3.6,13.5,2.5,,3.0,1.209091,,https://www.vivino.com/GB/en/domaine-de-cambis-kalliope-saint-chinian/w/3630332
3630360,Carillion Pinot Noir,Pinot Noir,1,Red Wine,Orange,Carillion,Central Ranges,Australia,26,3.9,0.0,3.5,,3.0,1.5,1.5,https://www.vivino.com/GB/en/carillion-pinot-noir/w/3630360
3630450,Henriot Cuvée des Enchanteleurs Brut Champagne,Cuvée des Enchanteleurs Brut Champagne,3,Sparkling,Champagne,Henriot,Champagne,France,1368,4.4,0.0,4.5301538,4.32865,4.034154,,,https://www.vivino.com/GB/en/champagne-henriot-cuvee-des-enchanteleurs-brut-champagne/w/3630450
3630451,Henriot Demi-Sec Champagne,Demi-Sec Champagne,3,Sparkling,Champagne,Henriot,Champagne,France,83,4.0,0.0,4.1807594,4.5206327,4.3077216,,,https://www.vivino.com/GB/en/champagne-henriot-champagne-demi-sec/w/3630451
3630489,Castellane Demi-Sec Champagne,Demi-Sec Champagne,3,Sparkling,Champagne,Castellane,Champagne,France,161,3.8,0.0,3.860278,4.475648,3.970463,,,https://www.vivino.com/GB/en/castellane-champagne-demi-sec/w/3630489
3630522,Island Tide Sauvignon Blanc,Sauvignon Blanc,2,White Wine,Marlborough,Island Tide,Marlborough,New Zealand,95,3.6,13.0,3.9550793,,2.336455,1.7593652,,https://www.vivino.com/GB/en/island-tide-sauvignon-blanc/w/3630522
3630579,Campo Delia Tempranillo,Tempranillo,1,Red Wine,La Mancha,Campo Delia,La Mancha,Spain,2480,3.3,0.0,3.1541667,,3.363077,1.4370086,3.200406,https://www.vivino.com/GB/en/campo-delia-tempranillo/w/3630579
3630654,Les Vins de Vienne - Cuilleron-Gaillard-Villard Les Balcons du Rhône Cornas 'La Canole',Les Balcons du Rhône Cornas 'La Canole',1,Red Wine,Cornas,Les Vins de Vienne - Cuilleron-Gaillard-Villard,Northern Rhône,France,16,3.9,0.0,3.4836586,,4.9809756,1.024878,2.875122,https://www.vivino.com/GB/en/les-vins-de-vienne-les-balcons-du-rhone-cornas-la-canole/w/3630654
3630829,Charles Guyot Rully Premier Cru,Rully Premier Cru,2,White Wine,Rully Premier Cru,Charles Guyot,Bourgogne,France,27,3.5,0.0,2.5,,3.3348486,1.0,,https://www.vivino.com/GB/en/charles-guyot-rully-premier-cru/w/3630829
3630919,Four Lanterns Lamplight,Lamplight,2,White Wine,Willow Creek,Four Lanterns,Paso Robles,United States,42,3.8,0.0,1.0,,3.5,2.8448277,,https://www.vivino.com/GB/en/four-lanterns-lamplight/w/3630919
3630979,Mathelin L'Orée des Chênes Brut Champagne,L'Orée des Chênes Brut Champagne,3,Sparkling,Champagne,Mathelin,Champagne,France,51,3.9,0.0,4.3041177,4.617647,4.5535297,,,https://www.vivino.com/GB/en/mathelin-l-oree-des-chenes-brut-champagne/w/3630979
3631002,Zin Zinfandel,Zinfandel,1,Red Wine,Puglia,Zin,Puglia,Italy,785,3.5,0.0,2.2745597,,4.3856606,2.8488367,2.9130187,https://www.vivino.com/GB/en/zin-zinfandel/w/3631002
3631232,Legouge Copin Champagne Clair de Rosé Brut,Champagne Clair de Rosé Brut,3,Sparkling,Champagne,Legouge Copin,Champagne,France,14,3.8,0.0,5.0,5.0,4.5,,,https://www.vivino.com/GB/en/legouge-copin-champagne-clair-de-rose-brut/w/3631232
3631248,Domaine Nicolas Rossignol Pommard 1er Cru 'Argillieres',Pommard 1er Cru 'Argillieres',1,Red Wine,Pommard Premier Cru,Domaine Nicolas Rossignol,Bourgogne,France,17,4.4,0.0,3.5846155,,2.3307693,2.4153845,1.9338461,https://www.vivino.com/GB/en/nicolas-rossignol-pommard-1er-cru-argillieres/w/3631248
3631298,Anna et André Durrmann Pinot Blanc,Pinot Blanc,2,White Wine,Alsace,Anna et André Durrmann,Alsace,France,26,3.7,0.0,3.7338638,,3.0,1.0,,https://www.vivino.com/GB/en/anna-et-andre-durrmann-pinot-blanc/w/3631298
3631325,Domaine Tart Avizat saline Red,saline Red,1,Red Wine,Languedoc,Domaine Tart Avizat,Languedoc,France,16,3.7,0.0,4.0076194,,4.0,1.0,4.0109525,https://www.vivino.com/GB/en/domaine-tart-avizat-saline-red/w/3631325
3631347,Anselmann Grauburgunder Trocken,Grauburgunder Trocken,2,White Wine,Pfalz,Anselmann,Pfalz,Germany,94,3.5,14.0,2.5708334,,3.1076388,1.9520831,,https://www.vivino.com/GB/en/gebrueder-anselmann-grauburgunder-trocken/w/3631347
3631429,La Pitchoune Chardonnay,Chardonnay,2,White Wine,Sonoma Coast,La Pitchoune,Sonoma Coast,United States,31,3.9,14.2,3.203617,,4.8102126,2.4609575,,https://www.vivino.com/GB/en/la-pitchoune-chardonnay/w/3631429
3631444,Winemaker's Choice Shiraz - Cabernet,Shiraz - Cabernet,1,Red Wine,South Eastern Australia,Winemaker's Choice,Côtes-du-Rhône,France,114,3.5,0.0,3.0491998,,4.9508,1.0792,2.8747997,https://www.vivino.com/GB/en/winemaker-s-choice-shiraz-cabernet-south-eastern/w/3631444
3631505,Doña Dominga Reserva Pinot Noir,Reserva Pinot Noir,1,Red Wine,Colchagua Valley,Doña Dominga,Colchagua Valley,Chile,207,3.7,0.0,3.1157894,,2.7289474,1.0289474,1.0,https://www.vivino.com/GB/en/dona-dominga-reserva-pinot-noir/w/3631505
3631551,Emendis Cabernet Franc,Cabernet Franc,1,Red Wine,Penedès,Emendis,Catalunya,Spain,49,3.5,14.0,3.0967796,,3.866949,1.0166101,2.8071187,https://www.vivino.com/GB/en/emendis-cabernet-franc-penedes/w/3631551
3631576,Tenuta La Favola Rosso,Rosso,1,Red Wine,Terre Siciliane,Tenuta La Favola,Terre Siciliane,Italy,77,3.3,0.0,2.7277064,,4.6011925,1.9208256,2.9623852,https://www.vivino.com/GB/en/tenuta-la-favola-terre-siciliane-rosso/w/3631576
3631653,Markus Molitor Prestige Riesling Vieilles Vignes,Prestige Riesling Vieilles Vignes,2,White Wine,Mosel,Markus Molitor,Mosel,Germany,1200,4.0,0.0,4.722588,,3.1693065,1.7199466,,https://www.vivino.com/GB/en/de-markus-molitor-prestige-riesling-vieilles-vignes/w/3631653
3631677,La Vigne du Roy Costières-de-Nîmes Rosé,Costières-de-Nîmes Rosé,4,Rosé Wine,Costières-de-Nîmes,La Vigne du Roy,Côtes-du-Rhône,France,56,3.8,0.0,3.2416666,,3.5,1.483,,https://www.vivino.com/GB/en/la-vigne-du-roy-costieres-de-nimes-rose/w/3631677
3631684,Laluna Sauvignon Blanc,Sauvignon Blanc,2,White Wine,Abruzzo,Laluna,Abruzzo,Italy,97,3.8,12.0,4.029394,,3.0,2.0,,https://www.vivino.com/GB/en/laluna-abruzzo-sauvignon-blanc/w/3631684
3631732,Domaine Perrot-Minot Vieilles Vignes Nuits-Saint-Georges Premier Cru 'Les Murgers',Vieilles Vignes Nuits-Saint-Georges Premier Cru 'Les Murgers',1,Red Wine,Nuits-Saint-Georges 1er Cru 'Aux Murgers',Domaine Perrot-Minot,Morey-Saint-Denis,France,27,4.2,13.0,4.492245,,2.9140816,1.8504081,2.4795918,https://www.vivino.com/GB/en/domaine-perrot-minot-vieilles-vignes-nuits-saint-georges-premier-cru-les-murgers/w/3631732
3632295,Lafken Carménère,Carménère,1,Red Wine,Maipo Valley,Lafken,Casablanca Valley,Chile,12,3.8,0.0,3.2173913,,4.5,1.0,2.5,https://www.vivino.com/GB/en/lafken-carmenere-maipo-valley/w/3632295
3632319,Goerg Riesling Mosel Piesporter Goldtröpfchen Kabinett,Riesling Mosel Piesporter Goldtröpfchen Kabinett,2,White Wine,Mosel,Goerg,Mosel,Germany,21,4.0,0.0,5.0,,3.0,1.7314286,,https://www.vivino.com/GB/en/goerg-riesling-mosel-piesporter-goldtropfchen-kabinett/w/3632319
3632510,Setzer Vesper Grüner Veltliner,Vesper Grüner Veltliner,2,White Wine,Niederösterreich,Setzer,Weinviertel,Austria,34,3.6,11.0,4.019273,,2.1023636,1.4292728,,https://www.vivino.com/GB/en/setzer-vesper-gruner-veltliner/w/3632510
3632588,Corona del Valle Chardonnay,Chardonnay,2,White Wine,Valle de Guadalupe,Corona del Valle,Baja California,Mexico,111,3.8,12.9,1.5854053,,4.0227027,2.7291894,,https://www.vivino.com/GB/en/corona-del-valle-chardonnay/w/3632588
3632590,Falconhead Pinot Gris,Pinot Gris,2,White Wine,Hawke's Bay,Falconhead,Hawke's Bay,New Zealand,10,3.5,12.5,2.6178787,,2.7727273,1.560606,,https://www.vivino.com/GB/en/falconhead-pinot-gris/w/3632590
