id,full_name,name,type_id,type,wine_region,winery,winery_region,country,ratings_count,ratings_average,alcohol,acidity,fizziness,intensity,sweetness,tannin,url
6133793,Expert Club C.Coppolani Minervois,C.Coppolani Minervois,1,Red Wine,Minervois,Expert Club,Saumur,France,121,3.3,0.0,3.927934,,3.7295868,1.0194215,3.482562,https://www.vivino.com/GB/en/expert-club-c-coppolani-minervois/w/6133793
6134093,Castello Di Azeglio Erbaluce Di Caluso,Erbaluce Di Caluso,2,White Wine,Erbaluce di Caluso,Castello Di Azeglio,Piemonte,Italy,39,3.7,0.0,3.5794444,,3.323889,1.778889,,https://www.vivino.com/GB/en/castello-di-azeglio-erbaluce-di-caluso/w/6134093
6134199,Gooseneck Vineyards Heritage Red,Heritage Red,1,Red Wine,Valencia,Gooseneck Vineyards,Rhode Island,United States,29,3.3,0.0,3.0,,4.019655,1.8648275,2.927931,https://www.vivino.com/GB/en/gooseneck-heritage-red-comunitat-valenciana/w/6134199
6134202,Mumm Napa Devaux Ranch Blanc de Blancs,Devaux Ranch Blanc de Blancs,3,Sparkling,Napa Valley,Mumm Napa,Rutherford,United States,48,4.2,0.0,3.0571427,4.0,4.0,,,https://www.vivino.com/GB/en/mumm-napa-devaux-ranch-blanc-de-blancs-napa-valley/w/6134202
6134911,Coston Arboussas Blanc,Arboussas Blanc,2,White Wine,Terrasses du Larzac,Coston,Languedoc,France,24,3.9,0.0,2.5,,3.0,1.0,,https://www.vivino.com/GB/en/coston-arboussas-blanc/w/6134911
6135285,Soito Taleiga,Taleiga,1,Red Wine,Dão,Soito,Dão,Portugal,105,3.7,0.0,3.7298353,,3.8087912,1.4396155,3.4784617,https://www.vivino.com/GB/en/soito-taleiga/w/6135285
6135341,Rochford Terre Chardonnay,Terre Chardonnay,2,White Wine,Yarra Valley,Rochford,Port Phillip,Australia,18,3.8,0.0,3.2081966,,3.5,1.7667212,,https://www.vivino.com/GB/en/rochford-terre-chardonnay/w/6135341
6135351,Port Stephens Winery Henry Deane Shiraz,Henry Deane Shiraz,1,Red Wine,Hunter Valley,Port Stephens Winery,New South Wales,Australia,18,4.1,0.0,2.9247763,,5.0,1.5,3.4561193,https://www.vivino.com/GB/en/port-stephens-winery-henry-deane-shiraz/w/6135351
6135361,Duplicate Shiraz,Shiraz,1,Red Wine,South Eastern Australia,Duplicate,South Eastern Australia,Australia,26,3.1,0.0,3.025,,5.0,2.0700002,3.475,https://www.vivino.com/GB/en/duplicate-shiraz/w/6135361
6135386,Jess Miller LBJ,LBJ,1,Red Wine,Willamette Valley,Jess Miller,Willamette Valley,United States,25,4.4,12.5,4.0155554,,2.1011112,1.1477778,1.9818518,https://www.vivino.com/GB/en/jess-miller-lbj/w/6135386
6135410,Domaine de Lavail Vieilles Vignes Carignan,Vieilles Vignes Carignan,1,Red Wine,Languedoc,Domaine de Lavail,Languedoc,France,150,3.9,0.0,3.70132,,4.0108123,1.1729441,3.2471573,https://www.vivino.com/GB/en/domaine-de-lavail-languedoc-vieilles-vignes-carignan/w/6135410
6135500,Miguel Louro Apelido Tinto,Apelido Tinto,1,Red Wine,Alentejo,Miguel Louro,Alentejano,Portugal,178,4.0,0.0,3.0479145,,4.0329385,1.9479147,2.818483,https://www.vivino.com/GB/en/estremoz-apelido-tinto/w/6135500
6135550,Alario Sauvignon Blanc,Sauvignon Blanc,2,White Wine,Central Valley,Alario,Central Valley,Chile,100,3.3,0.0,4.076979,,2.850625,1.1666666,,https://www.vivino.com/GB/en/alario-sauvignon-blanc/w/6135550
6135561,Occasio Del Arroyo Vineyard Sauvignon Blanc,Del Arroyo Vineyard Sauvignon Blanc,2,White Wine,Livermore Valley,Occasio,San Francisco Bay,United States,15,4.3,0.0,4.0381036,,3.1551723,1.0,,https://www.vivino.com/GB/en/occasio-del-arroyo-vineyard-sauvignon-blanc/w/6135561
