year,id,wine_id,vintage_ratings_count,vintage_ratings_average
2019,167358234,9310964,11,3.9
2018,167357220,9311359,33,3.5
2017,167383109,9311359,121,3.6
2019,167380221,9313256,25,4.1
2019,167373116,9313303,27,3.7
2020,167365217,9313305,32,3.6
2018,167365601,9313457,11,3.5
2016,154767494,9313541,27,4.0
2019,167366921,9313964,38,4.4
2019,167370341,9314017,55,3.5
2020,167375630,9316679,50,3.8
2018,167375673,9316696,12,4.0
2017,167385491,9316727,702,3.7
2019,167389848,9321417,11,3.7
2017,167405858,9321503,12,3.6
2018,167390272,9321583,16,3.3
2018,167428091,9321689,12,3.7
2019,167418121,9321703,11,4.2
2019,167391028,9321892,101,3.7
2016,167438734,9321974,17,4.0
2017,167392117,9322292,11,3.6
2020,167400253,9325130,61,3.9
2019,167380547,9325408,22,3.1
2020,167383947,9325718,29,3.7
2017,167403823,9325779,16,4.7
2016,167410658,9325828,36,3.7
2015,167434876,9325828,13,3.8
2014,167487115,9325828,59,3.7
2013,167525593,9325828,62,3.6
2012,11807751,9325828,211,3.9
2011,3375152,9325828,150,3.8
2019,167403092,9326277,20,3.8
2018,167415554,9327402,28,4.3
2018,167417743,9327403,43,4.3
2018,167417834,9327404,29,4.2
2019,167406784,9327469,23,3.3
2019,167406839,9327493,14,3.7
2008,167436354,9327503,11,3.9
2020,167406948,9327540,11,3.7
2020,167407151,9327634,12,4.3
2019,167390682,9327670,32,3.3
2020,167430985,9328087,10,4.2
2018,167408273,9328087,180,4.2
2017,167430875,9328087,29,4.1
2018,167430259,9328450,12,4.1
2019,167413230,9329701,14,3.0
2019,167413768,9329938,49,3.5
2018,167470188,9330045,10,4.5
2020,167414837,9330339,15,4.2
2020,167416131,9330757,37,3.6
2016,167440112,9332110,22,3.5
2013,167456901,9332110,13,3.7
2019,167421453,9332518,36,3.8
2017,167422786,9332987,1159,3.6
2020,167430286,9335092,48,3.9
2019,167429162,9335092,258,4.0
2019,167431640,9335907,14,4.1
2018,167440547,9338847,12,3.8
2020,167441826,9339266,22,3.6
2020,167443720,9339852,11,4.2
2017,167444798,9340189,35,4.0
2020,167452306,9342670,11,4.0
2019,167452998,9342958,36,3.8
2019,167453049,9342971,18,4.0
2019,167465624,9347486,29,3.8
2017,158700470,9347486,85,4.0
2015,158823331,9347486,47,3.7
2014,158350065,9347486,157,4.0
2019,167466691,9347939,17,3.3
2018,167467322,9348165,15,4.0
2019,167658976,9348311,12,4.8
2020,167472983,9350146,13,3.7
2018,167482449,9350154,29,3.9
2016,167449594,9350154,53,3.7
2019,167474212,9350635,14,3.5
2013,167510332,9353273,93,3.6
2019,167487235,9355140,11,3.5
2018,167506661,9355357,27,3.7
2019,167494160,9357500,40,3.8
2018,167549319,9358382,80,4.4
2017,167513673,9358382,11,4.5
2019,167505227,9361287,14,3.5
2018,167506290,9361633,23,4.6
2017,167532807,9361633,12,4.6
2019,167494311,9361835,16,3.9
2020,167517985,9365509,10,3.7
2019,167540916,9365553,24,3.9
2020,167518171,9365593,17,4.1
2018,167520629,9366427,14,4.2
2020,167521166,9366612,125,3.4
2018,167521953,9366872,17,3.3
2019,167527423,9368830,34,3.4
2016,167527580,9368905,10,4.1
2018,167528219,9369193,13,3.5
2019,167513623,9369872,19,4.3
2019,167568615,9370220,26,4.1
2018,167661882,9370220,22,4.1
2016,159371260,9371206,13,4.4
2019,167533951,9371222,34,3.9
2018,167534695,9371556,14,3.8
2009,167540606,9373375,76,4.3
2019,167540896,9373623,108,3.9
2018,167541007,9373671,17,3.7
2011,167532073,9373881,30,4.0
2019,167561446,9374057,14,4.0
2019,167549590,9376749,17,3.2
2013,9088838,9376758,10,3.0
2018,167569175,9383089,15,4.1
2018,167606128,9390315,11,4.4
2020,167602509,9391961,61,4.3
2019,167594979,9391961,27,4.3
2020,167634173,9394597,14,3.5
2018,167604533,9395311,43,3.6
2016,167609332,9396428,24,3.7
2020,167608095,9396482,35,3.4
2019,167616355,9399339,36,3.1
2020,167616738,9399471,27,3.0
2019,167633332,9399482,21,3.4
2014,167617631,9399762,32,4.2
2019,167624957,9401984,28,3.8
2015,167626048,9402407,46,3.8
2019,167626422,9402552,30,3.3
2019,167660311,9402717,11,3.7
2018,167639579,9406905,15,3.6
2019,167645005,9408791,45,3.8
2019,167651774,9411242,15,4.1
2018,167656742,9412914,157,4.3
2017,167670448,9412914,15,4.0
2017,167682402,9413362,87,3.9
2020,167663024,9415050,225,3.7
2018,167663736,9415352,16,3.7
2019,167664005,9415465,289,3.6
2019,167672275,9416029,40,3.9
2019,167678929,9417585,267,3.5
2018,167682604,9417632,10,4.0
2020,167670632,9417717,62,4.0
2020,167741395,9420003,12,3.9
2019,167677603,9420003,40,4.0
2010,167686521,9420003,20,4.0
2018,167677743,9420058,20,3.7
2020,167678411,9420366,23,3.8
2018,167687725,9423368,88,3.8
2019,167689027,9423881,20,4.0
2020,167701539,9427947,30,3.8
2016,167702318,9428282,70,3.7
2020,167704115,9428966,34,4.1
2016,167712748,9431986,51,3.6
2012,167719603,9434589,38,4.2
2014,167742966,9435350,13,3.2
2018,167745794,9435491,31,3.5
2020,167728160,9437574,16,3.8
2019,167732461,9438966,13,3.6
2019,167732770,9439109,48,3.9
2020,167732954,9439190,15,3.9
2019,167733682,9439493,18,4.2
2020,167726529,9439617,14,5.0
2020,167746381,9442659,11,3.4
2020,167751090,9445178,14,3.8
2017,167775488,9453587,28,3.8
2019,167664667,9415734,25,3.9
2020,167666182,9416235,197,3.6
