id,full_name,name,type_id,type,wine_region,winery,winery_region,country,ratings_count,ratings_average,alcohol,acidity,fizziness,intensity,sweetness,tannin,url
3048260,Domaine Pêcheur Crémant du Jura Brut,Crémant du Jura Brut,3,Sparkling,Crémant du Jura,Domaine Pêcheur,Jura,France,23,3.6,11.5,3.6186955,4.0,3.5,,,https://www.vivino.com/GB/en/pecheur-cremant-du-jura-brut/w/3048260
3048303,Bioletti's Block Chardonnay,Chardonnay,2,White Wine,California,Bioletti's Block,California,United States,124,3.3,0.0,3.0067675,,4.89202,2.667475,,https://www.vivino.com/GB/en/biolettis-block-chardonnay/w/3048303
3048449,Schieferkopf Via Saint Jacques Riesling,Via Saint Jacques Riesling,2,White Wine,Alsace,Schieferkopf,Alsace,France,371,3.7,0.0,4.5096564,,3.1588318,2.1814432,,https://www.vivino.com/GB/en/schieferkopf-via-saint-jacques-riesling/w/3048449
3048578,Bodegas Vallobera Spanish Demon,Spanish Demon,1,Red Wine,Rioja,Bodegas Vallobera,Rioja,Spain,60,2.8,0.0,4.065172,,4.0,1.0,4.5,https://www.vivino.com/GB/en/vallobera-spanish-demon/w/3048578
3048587,Ciccariello Bellone,Bellone,2,White Wine,Lazio,Ciccariello,Valpolicella,Italy,18,3.3,0.0,4.0,,3.0796363,2.1505454,,https://www.vivino.com/GB/en/ciccariello-lazio-bellone/w/3048587
3048639,Claudio Mariotto Montemirano Croatina,Montemirano Croatina,1,Red Wine,Colli Tortonesi,Claudio Mariotto,Piemonte,Italy,213,3.8,13.0,2.4339445,,3.79025,2.540861,3.1936114,https://www.vivino.com/GB/en/claudio-mariotto-montemirano-croatina/w/3048639
3048719,Fruscalzo Cabernet Sauvignon,Cabernet Sauvignon,1,Red Wine,Collio,Fruscalzo,Collio,Italy,36,4.0,13.0,2.5705187,,3.7346666,2.0247407,3.188074,https://www.vivino.com/GB/en/fruscalzo-cabernet-sauvignon/w/3048719
3048859,Gimenez Mendez Casco Viejo Reserva de Familia Cabernet Sauvignon,Casco Viejo Reserva de Familia Cabernet Sauvignon,1,Red Wine,Canelones,Gimenez Mendez,Canelones,Uruguay,221,3.1,12.5,3.5,,5.0,1.0,4.5,https://www.vivino.com/GB/en/gimenez-mendez-casco-viejo-reserva-de-familia-cabernet-sauvignon/w/3048859
3048878,Fermoy Estate Geographe Vineyards Shiraz,Geographe Vineyards Shiraz,1,Red Wine,Western Australia,Fermoy Estate,South West Australia,Australia,10,3.1,0.0,2.7765,,4.685,2.3587499,3.2712502,https://www.vivino.com/GB/en/fermoy-estate-geographe-vineyards-shiraz/w/3048878
3048895,Paul Humbrecht Gewurztraminer Alsace Grand Cru 'Steinert',Gewurztraminer Alsace Grand Cru 'Steinert',2,White Wine,Alsace Grand Cru 'Steinert',Paul Humbrecht,Bourgogne La Chapelle Notre-Dame,France,18,4.2,13.5,2.0,,4.0,2.5,,https://www.vivino.com/GB/en/paul-humbrecht-gewurztraminer-alsace-grand-cru-steinert/w/3048895
