year,id,wine_id,vintage_ratings_count,vintage_ratings_average
2018,166466989,8998237,29,4.2
2017,166447370,8998237,99,4.1
2019,166447916,8998456,12,3.4
2017,166448123,8998540,37,3.6
2018,166448497,8998671,10,3.5
2017,166448571,8998706,11,4.6
2017,166448896,8998812,228,3.6
2018,166448936,8998825,22,3.6
2019,166493894,8999144,24,3.8
2019,164049494,8999231,94,3.4
2017,166453828,9000464,47,4.6
2019,166454094,9000579,35,3.6
2019,166381820,9000641,16,3.1
2018,166454313,9000666,38,3.8
2017,166454612,9000792,18,4.0
2000,166454629,9000801,44,3.9
2018,166454646,9000808,13,4.1
2020,166478024,9000831,16,3.4
2019,166629130,9000866,18,3.9
2017,166454965,9000942,17,3.3
2019,166455057,9000979,37,3.5
2019,166455296,9001062,25,3.6
2020,167628257,9001075,12,4.0
2019,166390284,9001075,12,4.2
2017,166477047,9001075,12,3.9
2019,166455808,9001271,55,3.7
2018,166455834,9001281,25,3.6
2018,166455853,9001288,17,4.3
2018,166455949,9001324,11,4.0
2019,166455964,9001328,15,4.1
2018,166456608,9001369,33,3.5
2019,166456515,9001512,42,3.8
2019,166456527,9001517,40,3.8
2016,166492358,9001619,78,4.1
2019,166965596,9001718,23,3.6
2018,166457159,9001718,82,3.6
2017,166463806,9001718,12,4.0
2015,166461478,9003096,74,4.3
2015,166461661,9003168,11,4.5
2019,166462203,9003385,123,3.8
2018,166628330,9003385,16,3.9
2015,166462263,9003409,13,4.5
2019,166477519,9003493,24,3.4
2019,166462708,9003620,10,3.6
2018,166462903,9003694,42,3.3
2019,166463150,9003784,16,3.8
2016,166463158,9003787,13,4.0
2018,166463163,9003789,12,4.0
2018,166463325,9003852,22,3.7
2019,166463476,9003906,704,3.8
2018,166402155,9004012,33,4.0
2019,166464002,9004074,64,3.8
2016,166402588,9004155,105,3.2
2019,166464470,9004229,41,3.4
2019,166483251,9004240,41,3.9
2020,166465100,9004413,16,3.2
2020,166465321,9004473,90,3.6
2018,166465621,9004567,37,3.7
2018,166470880,9006161,90,3.7
2015,166470920,9006176,64,4.0
2020,166471258,9006304,13,3.8
2017,166492832,9006375,20,3.7
2018,166471524,9006413,12,4.4
2017,166471624,9006462,74,3.8
2019,166422916,9006684,10,3.7
2018,166472546,9006827,22,4.1
2018,166472679,9006870,20,3.6
2018,166472716,9006889,77,4.1
2018,166677278,9006939,91,3.6
2018,166472880,9006946,11,4.0
2017,166472952,9006969,77,4.1
2019,166473020,9006999,15,3.1
2019,166473137,9007046,75,4.1
2014,166473142,9007048,10,4.4
2019,166726652,9007073,17,3.5
2019,166473228,9007079,26,3.8
2018,166411411,9007109,15,3.5
2016,166537497,9007109,11,3.7
2018,166763691,9007135,24,4.4
2017,166473373,9007135,15,4.4
2019,166490023,9007153,31,3.5
2018,162480155,9007324,70,4.0
2018,161844978,9007326,59,3.3
2020,166475409,9007779,14,3.1
2019,166519509,9010098,24,3.9
2017,166419023,9010387,10,4.6
2020,166483690,9010475,75,4.1
2018,166545732,9010475,14,4.3
2019,166483787,9010521,34,4.1
2014,166484004,9010615,108,4.0
2019,166484023,9010622,21,3.9
2019,166486332,9011434,31,3.6
2017,166493940,9011503,32,3.7
2019,166486967,9011632,25,4.0
2019,166488608,9012155,14,3.9
2019,166499121,9015625,154,3.6
2019,166909046,9015892,16,3.5
2018,166499810,9015900,15,4.0
2019,166504941,9015915,63,3.6
2018,166499837,9015915,15,3.4
2018,166500713,9016237,33,3.7
2017,166556738,9016389,51,3.5
2018,166519221,9016496,19,4.2
2020,166511176,9019958,76,3.3
2019,166511286,9020006,54,4.1
2019,166558230,9020157,25,3.9
2019,166511722,9020166,18,3.8
2018,166511874,9020234,16,4.5
2019,166512071,9020327,22,4.3
2018,166429927,9020381,23,3.8
2020,166512248,9020406,31,3.6
2019,160215335,9020602,137,3.3
2018,162103110,9020602,66,3.5
2017,158301618,9020602,258,3.6
2018,166553742,9020636,10,4.0
2020,166548712,9020721,10,3.9
2019,166512946,9020721,18,3.9
2019,166514005,9020722,23,3.5
2018,166518326,9020722,15,3.5
2016,166513036,9020756,147,4.1
2015,166549319,9020756,26,4.0
2014,166577172,9020756,12,4.1
2019,166435395,9020788,11,3.7
2019,166537768,9021014,49,3.7
2017,166513660,9021014,31,3.5
2019,166589780,9021489,17,4.8
2020,166518980,9022790,34,3.5
2019,166519234,9022881,11,3.3
2019,166519335,9022922,86,3.7
2015,166537866,9022922,11,4.1
2011,166537943,9022922,14,3.6
2019,166444614,9023100,52,3.0
2020,166519793,9023125,26,3.4
2019,166542104,9023153,17,3.7
2019,166519916,9023175,137,3.7
2015,166539627,9023256,15,3.5
2018,166754850,9023258,13,3.8
2019,166520239,9023315,96,3.6
2017,166520482,9023411,31,3.8
2019,166520820,9023521,36,4.2
2018,166521246,9023676,73,3.7
2018,166521800,9023874,24,3.8
2018,166452637,9023928,191,3.9
2020,166541370,9025439,27,3.9
2020,166526793,9025505,26,3.0
2017,166526850,9025529,63,4.1
2020,166526903,9025553,20,3.9
2018,166547920,9025616,51,3.1
2020,166527494,9025795,118,3.9
2019,161819719,9025795,34,3.7
2017,155706027,9025795,47,4.1
2020,166527712,9025885,12,3.8
2019,166527817,9025932,13,3.6
2013,166527960,9025987,22,3.7
2019,166528040,9026018,26,4.1
2019,166528057,9026024,68,3.4
2020,166551625,9026088,16,4.0
2017,166528337,9026140,34,4.3
2019,166528393,9026169,21,4.3
2017,166528491,9026215,11,4.1
2020,167376532,9026338,24,4.0
2015,166528859,9026338,34,4.0
2020,166529090,9026420,14,3.8
2020,167175477,9026453,14,4.3
2019,167167610,9026453,33,4.4
2018,166818141,9026453,52,4.4
2018,166531761,9027236,51,3.8
2019,166535652,9028563,10,3.7
2018,166535971,9028673,11,4.4
2019,166536005,9028687,34,3.5
2019,166466445,9028752,14,3.4
2017,166623413,9028837,45,3.7
2016,166536366,9028837,33,3.5
2015,167609248,9028917,30,4.2
2018,166536628,9028949,42,3.8
2019,166536639,9028953,37,4.1
2016,166592422,9029060,14,3.9
2016,166537155,9029149,16,3.7
2020,166537337,9029214,21,3.3
2020,166537553,9029301,17,3.4
2020,167680599,9029378,35,3.7
2019,166537731,9029378,29,3.5
2018,166610518,9029445,13,3.6
2020,166658728,9029594,10,3.6
2019,166538406,9029594,32,3.6
2019,166544807,9029810,69,4.3
2013,166539277,9029845,12,3.5
2015,166539830,9030026,14,4.3
2020,166548893,9031724,22,3.8
2019,166550366,9031724,59,3.7
2018,166546401,9031724,90,3.8
2020,166578999,9031758,14,3.5
2019,166545634,9031758,52,3.6
2018,166598667,9031988,12,4.3
1996,166545962,9032020,14,4.4
2018,166545967,9032024,34,3.5
2020,166545981,9032034,31,3.5
2019,166664244,9032081,19,3.2
2017,166546095,9032081,12,3.6
2020,166475352,9032092,14,2.9
2019,166546364,9032188,24,3.9
2019,166546792,9032351,140,4.0
2020,166548441,9032382,42,3.7
2020,166561854,9032416,34,3.6
2019,166547126,9032480,15,4.1
2020,166611491,9032562,51,4.4
2019,166575117,9032562,102,4.0
2018,166576919,9032562,34,4.4
2018,166603849,9033348,13,3.7
2019,166586353,9034414,10,3.7
2018,166553388,9034414,20,3.4
2017,166556237,9035360,21,4.3
2017,166613673,9035570,21,3.3
2019,166746304,9035667,24,4.1
2014,167159122,9035678,61,4.1
2018,166557064,9035696,15,3.7
2018,166558314,9036205,16,3.5
2018,166558449,9036256,13,3.8
2018,166558800,9036390,40,3.2
2019,166563321,9036470,23,3.7
2017,166562262,9037527,76,4.1
2020,166563437,9037867,12,4.2
2020,167179480,9040697,14,3.6
2019,166571716,9040697,22,3.5
2017,166593872,9040739,35,4.2
2016,166571819,9040739,30,4.0
2018,166571859,9040753,35,3.8
2020,166494052,9040850,24,3.3
2017,166572415,9041010,19,3.9
2016,166606394,9041054,11,4.3
2019,166572583,9041085,12,3.7
2017,166907286,9041108,10,4.1
2016,166618594,9041108,12,4.1
2015,166600503,9041108,43,3.9
2018,166573046,9041278,38,4.0
2018,166613717,9041343,27,4.0
2017,166573196,9041343,12,4.2
2018,166499439,9041439,10,3.9
2019,166583134,9044850,44,3.8
2018,166583498,9045009,18,3.5
2019,167130757,9045078,16,4.1
2018,166504900,9045078,128,4.3
2020,166583771,9045137,27,3.7
2018,166583815,9045161,10,4.2
2019,166507249,9045198,12,3.3
2019,166690492,9045268,23,3.4
2018,166584047,9045268,24,3.8
2017,166584078,9045280,199,3.8
2016,166600572,9045280,96,3.9
2015,166611260,9045280,25,4.1
2013,166638850,9045280,10,3.8
2018,166584120,9045292,11,3.5
2014,166604099,9045323,10,4.6
2019,166584278,9045355,34,4.0
2017,166584282,9045356,32,3.6
2019,166634575,9045442,22,3.6
2016,166650106,9045449,13,4.5
2015,166584540,9045449,15,4.5
2018,166586611,9045499,125,3.9
2019,166584778,9045542,12,3.7
2019,166795954,9045845,53,3.6
2019,166587091,9045927,15,3.3
2018,166586374,9046108,17,4.1
2018,166586501,9046152,19,3.9
2019,166609123,9047430,31,3.6
2018,166516516,9047479,36,3.7
2019,166669494,9047651,14,3.8
2018,166590797,9047667,63,4.0
2019,166521986,9047788,148,3.9
2017,166591223,9047836,13,3.3
2019,166591838,9048081,10,3.4
2018,166591852,9048085,10,3.2
2016,166592175,9048206,10,4.7
2018,166592215,9048220,70,3.4
2019,166600587,9048279,101,3.4
2019,166592383,9048280,17,3.6
2018,166592406,9048281,38,3.9
2019,166595525,9048283,47,4.1
2018,166592548,9048283,25,3.8
2018,166592529,9048338,33,3.7
2018,166592546,9048345,14,3.5
2020,166593703,9048706,27,3.6
2018,166593875,9048758,17,3.9
2014,166597309,9049897,76,3.6
2015,166597355,9049915,24,4.3
2015,166597357,9049916,39,4.5
2017,166597360,9049918,46,3.6
2019,166528441,9049975,30,3.7
2019,166608739,9050009,81,3.6
2018,166597557,9050009,17,4.0
2019,166630511,9050043,11,4.0
2019,166597778,9050109,49,3.7
2018,166600653,9050124,30,3.8
2018,166597807,9050125,18,3.6
2019,166597890,9050163,74,3.8
2018,166597975,9050194,37,3.8
2019,166615404,9050244,32,4.0
2018,166598091,9050254,18,3.8
2014,166598180,9050298,72,4.0
2020,166598265,9050344,54,3.5
2018,166598380,9050398,58,3.9
2020,166598459,9050437,18,3.1
2017,166598614,9050504,11,4.0
2018,166598616,9050505,16,4.0
2012,166626210,9050537,46,4.5
2018,166598698,9050541,29,3.8
2019,166599392,9050829,58,3.0
